start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,Part,Name,path,speech_ratio
0 days,0 days 00:00:09.045375,35.071415,0.10030617,32.886265,34.338158,36.938652,4.052387,64.703926,100.87159,80.94999,113.34854,0.3582257,0.9663349,0.026044197,0.28241327,0.6912743,0.6652301,6.667607,3.1315956,6.116965,3.4615548,0.14038558,1.2187176,23.046474,0.99972284,5.59365,2.353571,-3.6891873,-4.6673126,-12.069924,-1.4957165,0.014828879,1.3467656,0.9121524,1.0785478,9.228552,0.43358758,3.384267,3.2179358,34.373363,0.34521902,700.0645,0.256224,1377.635,0.16588597,-101.89172,-0.9143465,1780.6956,0.14291216,1061.7582,0.2636019,-107.717926,-0.78032583,2917.4504,0.08926668,940.65045,0.29489762,-112.65046,-0.70213574,-17.262028,-0.51743263,31.674437,0.36738527,0.07329426,0.27455047,-0.03313432,-0.54986006,0.21804856,0.73696333,39.325264,0.37275046,5.48016,2.844914,-4.055475,-5.1188016,-19.738888,-0.87171054,-3.628012,12.336179,0.04224032,0.011027852,0.0552628,3.1007752,2.4498887,0.20363635,0.1643042,0.2068421,0.36908212,-25.404879,voice_recordings,free_speech.wav,Trust-UBA-V2/dataset/37/voice_recordings/free_speech.wav,0.745579547417516
0 days,0 days 00:00:12.970687500,36.902733,0.07730957,34.698544,36.617077,38.806526,4.1079826,16.335669,11.445427,17.49923,13.02687,0.25779974,1.1882504,0.036895547,0.14052233,0.4379104,0.40101486,8.870042,13.756337,3.026792,2.2731938,0.07911731,1.8832977,19.785812,0.70377284,0.4607115,30.90149,15.102021,1.2025925,-1.8620825,-9.056068,0.015494761,1.1796547,1.0732533,0.8128852,9.85846,0.36930075,10.068021,1.3201625,18.337008,0.50947154,739.69446,0.3293003,1403.5426,0.26613146,-117.32421,-0.7583871,1775.9799,0.12759791,1073.7493,0.34645978,-112.9931,-0.75711304,2809.5063,0.10492012,1016.21075,0.48121318,-115.028854,-0.72431636,-13.910689,-0.6452807,23.240118,0.35465562,0.048153374,0.45553887,-0.0029485337,-5.346105,0.12498636,0.9008907,27.111923,0.42402866,0.8266263,20.265646,23.456533,0.8225133,-11.534535,-1.4089264,-5.8496385,16.14736,0.0064775925,0.023423051,0.033553604,2.006173,1.5491867,0.3125,0.20772277,0.36294118,0.45462027,-29.268236,voice_recordings,free_speech.wav,Trust-UBA-V2/dataset/11/voice_recordings/free_speech.wav,0.6744470678937985
0 days,0 days 00:00:18.297375,34.32221,0.13710997,32.01572,33.77045,36.60849,4.5927696,273.61456,370.20755,32.99884,20.046335,0.36569965,0.9047592,0.02076444,0.32748216,0.63622355,0.6154591,7.190404,3.7661164,4.5829444,3.3243468,0.13420354,1.1523174,25.397709,0.8837441,10.99134,1.4806399,5.515069,3.3558605,-3.8146455,-4.209439,0.021290483,1.9219866,0.9835585,1.0493126,9.546502,0.43262646,7.5570374,1.400876,33.994114,0.3503998,658.2121,0.27961174,1355.1488,0.16062313,-86.836426,-1.0356702,1747.2284,0.13919586,1077.5997,0.32447037,-94.7887,-0.8435371,2834.6746,0.074817,910.0264,0.33088946,-98.58044,-0.7807547,-21.578592,-0.45436743,32.924763,0.36035332,0.07273626,0.2732528,-0.027997416,-0.7313911,0.19148913,0.83375424,38.65187,0.36067003,15.683789,0.94849956,6.7715797,3.1379018,-6.182458,-2.7973256,-1.5913748,9.923522,0.07333729,0.0217867,0.04157179,3.0634575,2.0296216,0.2964865,0.2917905,0.21433333,0.33365333,-24.83809,voice_recordings,free_speech.wav,Trust-UBA-V2/dataset/10/voice_recordings/free_speech.wav,0.7666699686087779
0 days,0 days 00:00:21.248000,33.41894,0.17090546,30.132511,31.673782,34.337547,4.205036,483.24496,776.7209,33.18298,30.142311,0.42456198,0.9109821,0.11425083,0.30354604,0.65059614,0.5363453,8.57435,8.08839,4.5961413,3.222962,0.14812107,1.5699787,12.144027,1.5806128,8.090992,2.185445,-0.87268615,-20.562567,-0.017245516,-921.03235,0.016450703,1.3957955,0.8631939,0.9024936,8.661636,0.38456413,8.958031,1.0660796,30.95079,0.39654282,636.5555,0.3336588,1368.0409,0.17079921,-108.44246,-0.8814352,1700.9467,0.154563,1174.3931,0.291377,-111.972824,-0.7721692,2773.4243,0.095720604,895.13525,0.3589189,-114.04159,-0.73774105,-18.470757,-0.6403843,28.044592,0.38098395,0.050750203,0.44643337,-0.016800923,-1.4647369,0.25068426,1.1042435,27.33613,0.5090404,18.50361,0.92407006,4.2262797,5.2557344,-7.0878043,-2.4796011,4.173109,7.836664,0.027851488,0.03326251,0.04461289,1.9312295,1.5580736,0.31363636,0.32105708,0.32741934,0.46311682,-23.48326,voice_recordings,free_speech.wav,Trust-UBA-V2/dataset/43/voice_recordings/free_speech.wav,0.6641585800974801
0 days,0 days 00:00:23.381375,33.72969,0.18020914,31.223213,32.905403,36.4513,5.2280884,292.65292,367.02466,67.48326,72.44917,0.36647433,1.0095311,0.033345558,0.26754543,0.6725784,0.6392328,6.471199,4.6035013,4.447177,4.1900387,0.16717458,1.312185,37.903477,0.3794148,-5.983503,-3.2892954,18.311037,1.0602603,2.9073288,4.3768444,0.029847898,2.0122402,1.1386361,0.8572728,8.4895315,0.43129054,5.9358244,1.7852905,28.697086,0.48287052,690.478,0.29769212,1355.9205,0.18632936,-98.66688,-0.9211524,1774.4391,0.1266542,1037.0187,0.33694643,-102.40201,-0.8098721,2853.582,0.07553867,936.94836,0.31902373,-105.98427,-0.75108236,-19.432959,-0.5620248,30.497164,0.41165018,0.051024854,0.4532178,-0.025442949,-0.783189,0.2621813,0.9113618,46.544712,0.21344765,-1.525123,-12.859366,18.214231,1.1478564,-1.0430541,-11.928717,-6.9806733,14.943945,0.041822962,0.014098387,0.042939853,2.225075,2.1440823,0.25559998,0.23117232,0.20106381,0.26169035,-22.985151,voice_recordings,free_speech.wav,Trust-UBA-V2/dataset/12/voice_recordings/free_speech.wav,0.7431575964779565
0 days,0 days 00:00:27.648000,25.59888,0.2299018,22.722658,23.97509,26.412598,3.6899395,130.20926,167.37817,49.95601,45.028008,0.37873563,1.1199547,0.057892017,0.13932689,0.6815804,0.6236884,10.31922,6.728179,6.742202,5.4007764,0.13271682,1.4648288,16.788582,0.9575429,-3.6866534,-3.7333882,22.6529,1.0808815,-1.753483,-9.5799675,0.017013254,1.3376199,1.3032289,0.7793444,3.2889016,0.8381334,7.115811,1.3635764,5.446088,1.9331099,604.47644,0.4304103,1116.1069,0.2140294,-129.71921,-0.7025675,1712.2,0.18312491,666.2473,0.56328094,-130.71399,-0.66852915,2679.467,0.098352075,812.7716,0.30016065,-126.41726,-0.73027647,-5.317898,-1.6384557,7.7447863,1.1596128,0.024473906,0.8124462,-0.02550728,-0.9529675,0.27537262,0.77122265,32.915394,0.31055462,-9.257249,-1.8459569,41.30572,0.5934255,-8.307367,-2.8082783,-1.8413702,7.7607975,0.012256457,0.013874365,0.04494454,2.0267825,1.4503263,0.25375,0.24281359,0.41525,0.6155322,-28.182419,voice_recordings,free_speech.wav,Trust-UBA-V2/dataset/23/voice_recordings/free_speech.wav,0.5794283931667598
0 days,0 days 00:00:18.944000,24.443783,0.3073433,20.215412,21.955017,28.010193,7.7947807,408.12415,809.211,305.60754,359.55472,0.28002432,1.2177839,0.0128776925,0.08151155,0.58065695,0.56777924,7.1824636,5.6911716,6.928727,6.238412,0.08871726,1.5375762,13.548104,1.4136218,-2.8178942,-4.697528,8.265637,1.7977662,-2.332338,-5.9406624,0.018859545,1.7572719,1.1142855,0.96651953,3.8387182,0.72559065,3.1688945,2.1248915,17.830353,0.5570145,543.944,0.41754377,1293.3793,0.17539887,-134.06027,-0.69073147,1572.976,0.15942498,954.8118,0.32935894,-135.16643,-0.65140635,2602.59,0.08998275,904.3285,0.32942933,-136.33804,-0.63187844,-9.144838,-0.93620783,18.698847,0.5236027,0.04491623,0.5368523,-0.012919172,-1.5028995,0.18337747,0.87587285,31.899776,0.44561133,-5.130078,-2.8090763,9.891882,1.9615043,-3.262905,-4.895119,-0.22878699,8.356374,0.04001571,0.026975118,0.03952914,2.113048,1.5360171,0.21413793,0.21174997,0.40266666,0.5527262,-30.272732,voice_recordings,free_speech.wav,Trust-UBA-V2/dataset/40/voice_recordings/free_speech.wav,0.5625018558047924
0 days,0 days 00:00:15.872000,22.875507,0.104600295,22.470259,23.108477,24.152098,1.681839,139.02332,172.67448,55.247158,69.44024,0.32826784,0.8917059,0.09151912,0.21146235,0.56987303,0.47835392,8.203576,5.2706194,6.7476296,4.0616317,0.17554218,0.909709,22.00372,0.55122346,17.35383,0.69013506,21.804708,0.72189283,12.758794,1.3262278,0.019348398,1.3379445,1.4090272,0.5282843,1.6795489,1.0365741,2.459821,4.6586637,13.85905,0.6499208,506.4338,0.31600565,1197.0562,0.16336486,-170.31078,-0.40593326,1603.8284,0.16846307,898.23944,0.43839604,-172.81563,-0.36697796,2586.748,0.107209586,834.1343,0.4334186,-172.66518,-0.36887142,-15.487029,-0.3724236,20.850687,0.3130088,0.0023386755,9.207648,-0.03865453,-0.43525872,0.31043956,0.57254285,31.782848,0.22148927,5.294072,2.5269911,19.736431,0.96191597,-11.685131,-1.4298038,-22.495758,29.921862,-0.056921646,-0.0043374794,0.1519284,3.215637,1.3915244,0.09954545,0.0822677,0.57260865,0.76767415,-28.806332,voice_recordings,free_speech.wav,Trust-UBA-V2/dataset/24/voice_recordings/free_speech.wav,0.6275226323188332
0 days,0 days 00:00:15.018687500,34.953598,0.14563449,33.04713,34.57032,37.19331,4.146179,189.05702,181.21992,279.79257,777.812,0.35375953,0.99747896,0.052585475,0.2610371,0.61830795,0.56572247,8.889541,5.9325433,4.486094,3.0054731,0.15226145,1.2282927,25.083776,0.65239066,6.081705,2.5411336,6.628208,2.9463606,-9.247045,-1.8095137,0.03311,1.5191975,1.2530296,0.7548194,8.3750305,0.45250368,8.381571,1.1631464,28.311007,0.46910334,746.7786,0.24175265,1364.0021,0.18310146,-96.51053,-0.92775315,1784.7261,0.12903306,1043.5839,0.29051414,-100.832016,-0.8137857,2890.184,0.07193368,877.04706,0.3723907,-104.817665,-0.7484308,-18.174171,-0.5682293,30.184261,0.34039924,0.045761988,0.7394359,-0.018067297,-1.0509735,0.22724067,0.86733556,34.275043,0.36996007,8.731267,1.802578,6.8065453,3.2678854,-13.061795,-1.3980142,-6.5864415,15.559282,0.030854426,0.009891846,0.050321087,2.4,2.4080267,0.2311111,0.1870647,0.17264706,0.29064137,-25.814325,voice_recordings,free_speech.wav,Trust-UBA-V2/dataset/49/voice_recordings/free_speech.wav,0.774238653671691
0 days,0 days 00:00:16.811250,33.34462,0.1377999,30.608738,32.815594,35.810696,5.2019577,87.29944,103.38051,45.42312,42.875767,0.27324906,1.5828563,0.022016415,0.03853301,0.53517264,0.51315624,9.5824795,5.851855,9.070865,8.339529,0.10511758,1.8819559,21.137188,0.5612042,1.1296332,13.501374,14.243441,1.1049429,-1.0238405,-18.937506,0.01942408,0.94218475,1.1788108,0.93507487,6.1712112,0.55286133,3.128388,3.2333162,17.107246,0.67917925,580.8399,0.41510186,1302.9774,0.19050698,-156.9422,-0.5113422,1665.2709,0.15152784,1011.24805,0.38419825,-153.72559,-0.5142173,2678.2664,0.09777767,975.27454,0.3277014,-153.78531,-0.51313573,-9.071158,-0.950084,17.665352,0.5897726,0.06540359,0.3287471,-0.017918613,-0.87293744,0.33100906,0.79615897,28.612692,0.45282248,-9.285249,-2.021221,22.475864,0.9770055,-24.881296,-0.75586617,-10.732504,19.263441,0.006190146,0.01357642,0.02887097,1.7261906,1.2537314,0.19238093,0.09680145,0.613,0.9931268,-28.768318,voice_recordings,free_speech.wav,Trust-UBA-V2/dataset/75/voice_recordings/free_speech.wav,0.46469055205053184
