start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,Part,Name,path,speech_ratio
0 days,0 days 00:00:56.149375,28.513666,0.28787482,24.042204,25.973608,28.933374,4.8911705,620.76746,1042.7297,247.12802,339.06503,0.5489951,0.88651645,0.09722321,0.4227629,0.9195596,0.8223364,11.211166,7.2735143,9.356521,5.5732923,0.24097456,1.0755762,22.596113,0.747827,-7.684411,-2.0655277,30.07747,0.7322928,2.0864892,6.6663995,0.032206286,1.9511547,1.5439583,0.70416147,3.3304052,0.8938686,10.36238,1.3065183,9.150757,1.4903532,641.8271,0.43773276,1136.788,0.25431177,-105.83741,-0.8630494,1733.3131,0.18220584,795.2296,0.4201817,-101.89452,-0.86514485,2681.0215,0.108123526,891.93353,0.34879065,-97.59377,-0.9365603,-6.027787,-1.7244953,9.07372,1.1332589,0.02855337,0.6772198,-0.0148528805,-1.2501801,0.3265625,0.7971323,31.852905,0.4229292,-9.221145,-1.8882895,38.080242,0.5367978,1.3685262,11.521029,-0.70700026,6.024222,0.016677184,0.0079404,0.14479552,3.919473,3.1918688,0.15675977,0.1517996,0.14608434,0.22854376,-24.858679,voice_recordings,lecture.wav,Trust-UBA-V2/dataset/23/voice_recordings/lecture.wav,0.8717470939648637
0 days,0 days 00:01:03.158312500,34.03348,0.12262944,32.120167,33.824554,35.672237,3.5520706,245.73999,511.34204,143.27818,396.2948,0.5497783,0.80525315,0.109111235,0.48806083,0.9043373,0.79522604,11.183154,6.3702364,8.17612,7.298814,0.25338274,1.0850258,26.35388,0.8487631,7.5298543,2.1659226,4.3201346,4.582903,-0.3406098,-44.75576,0.019988144,1.8258469,1.1620194,0.9178656,8.863746,0.4235359,6.563769,1.5263687,29.987383,0.4009209,652.4777,0.29488704,1363.815,0.16593936,-76.751686,-1.1457947,1714.503,0.13067533,1044.5061,0.32927546,-83.792755,-0.94548595,2797.9402,0.077802144,880.51373,0.34038225,-88.289345,-0.8606608,-17.985504,-0.55098426,28.58026,0.41045806,0.06736357,0.30992684,-0.025613146,-0.7207012,0.3370452,0.8612549,36.5031,0.41749695,9.268683,1.5981332,5.14564,4.021611,-1.034862,-14.785195,-1.2842083,11.2681875,0.06638895,0.010433843,0.088745706,3.2150776,2.5202093,0.25415093,0.22679694,0.13602836,0.17657451,-21.479328,voice_recordings,lecture.wav,Trust-UBA-V2/dataset/10/voice_recordings/lecture.wav,0.8872950089655746
0 days,0 days 00:01:10.485375,36.096912,0.093485005,33.89539,35.605434,37.76422,3.8688316,223.69582,551.51013,56.521976,81.44986,0.5204435,0.88040024,0.10198756,0.40372148,0.85794663,0.7559591,9.184948,5.6663847,6.253127,3.8282778,0.20700353,1.0496203,23.810957,0.64666355,-0.29736084,-57.961224,17.499094,1.051009,-4.435134,-3.968896,0.017660834,1.3487774,1.1186527,0.75659126,8.724573,0.38646474,10.466175,1.1372756,21.444254,0.5214551,625.30853,0.3432745,1407.2196,0.18374361,-91.77032,-0.97430503,1683.2074,0.12541945,1037.2327,0.36261702,-89.32509,-0.93360835,2716.9663,0.106002145,1038.6254,0.433826,-92.40452,-0.87586385,-13.420268,-0.64289737,22.248783,0.43495262,0.052790754,0.4197263,-0.01514804,-0.9979352,0.2892059,0.74302495,30.079967,0.4073629,-0.29534736,-60.347622,20.446312,0.93550175,-10.577151,-1.5880117,-5.126102,14.699432,0.01133803,0.012228254,0.071065925,2.8238966,2.1726782,0.27738562,0.26904032,0.17755395,0.29075402,-23.77459,voice_recordings,lecture.wav,Trust-UBA-V2/dataset/11/voice_recordings/lecture.wav,0.85311390227574
0 days,0 days 00:01:11.253375,35.22371,0.11768416,32.12229,35.256123,38.008263,5.885971,167.74544,414.72507,49.332424,100.60982,0.38511312,0.96268755,0.018271683,0.2803144,0.7219459,0.7036742,8.932537,4.650155,6.4382653,3.941119,0.2145219,1.171262,36.988785,0.4386194,-5.828592,-2.655341,11.903479,1.4034537,-1.9813972,-6.596088,0.020799415,1.3086827,1.2468637,0.7866413,8.61701,0.42190725,3.9148643,2.8558753,27.773539,0.39292517,670.51746,0.25980607,1335.2113,0.16731934,-90.92134,-0.9956945,1764.7648,0.121560246,1021.438,0.31580007,-96.3213,-0.8542966,2836.6882,0.0727862,912.56714,0.31449902,-100.41169,-0.7859675,-19.441658,-0.43935063,29.49025,0.3308475,0.06790532,0.2950318,-0.029006712,-0.60306114,0.3331907,0.7677924,46.20804,0.17462935,-6.1939955,-2.5680254,12.667708,1.3812841,-6.7581515,-1.827632,-7.5313635,15.807198,0.05712394,0.010754276,0.038631912,3.144301,2.3317883,0.24668674,0.21166973,0.19607407,0.3257131,-23.474178,voice_recordings,lecture.wav,Trust-UBA-V2/dataset/12/voice_recordings/lecture.wav,0.7935631062766381
0 days,0 days 00:01:21.408000,31.574936,0.15864167,29.598553,30.797964,32.3604,2.7618484,414.36166,696.23425,78.19559,98.88212,0.44056886,0.72277874,0.15256926,0.3705007,0.6703688,0.5177995,7.137392,4.751256,5.573571,3.6861422,0.19418883,1.0940099,17.693453,1.1654948,12.076631,1.2518457,-0.79519635,-21.103098,-0.39855283,-34.809547,0.02070734,1.5861406,1.1552002,0.88207394,7.4281764,0.4586361,6.651698,1.2776535,33.662758,0.32744962,664.66644,0.27837527,1344.1565,0.15683779,-98.24224,-0.9425311,1745.2749,0.12951076,1130.9985,0.29642665,-105.8898,-0.78349185,2830.0476,0.07410471,905.2596,0.3445942,-108.839516,-0.73575723,-20.273176,-0.5063769,29.840324,0.369117,0.053237967,0.3969555,-0.021851305,-1.1358174,0.2816955,0.80667174,31.260942,0.43711972,19.010618,0.67303425,3.7016687,4.866919,-5.043614,-2.7448952,-0.3118351,10.745771,0.036892258,0.0226546,0.09060492,3.2927878,2.8522253,0.18103449,0.15645795,0.16273583,0.18714356,-24.178692,voice_recordings,lecture.wav,Trust-UBA-V2/dataset/43/voice_recordings/lecture.wav,0.8748532659975571
0 days,0 days 00:01:27.381375,34.106136,0.104930386,32.22524,33.706764,35.361317,3.136078,264.15393,527.28986,139.00113,422.11124,0.4926334,0.83789486,0.05729805,0.4087777,0.8892282,0.83193016,9.183717,4.7270465,6.6809373,3.4545135,0.20941807,1.0063179,26.562403,0.83160406,4.8732653,3.3657713,-3.428988,-5.0019345,-13.00005,-1.2040327,0.01528459,1.5658716,1.0748194,0.96290886,8.684822,0.4040988,0.30873746,29.249876,31.680914,0.3738748,696.6533,0.24964544,1387.0865,0.15289778,-83.657936,-1.1114254,1759.6632,0.13384728,1018.2461,0.30385125,-89.53315,-0.94339865,2887.4446,0.074519776,913.993,0.3466671,-95.75311,-0.8298736,-16.654278,-0.56123435,28.858767,0.4119306,0.07427718,0.25726467,-0.034521747,-0.515868,0.29550636,0.6904571,38.047318,0.40142345,2.9418464,5.8059053,-1.7790667,-9.812024,-17.84602,-0.8564739,-5.456722,13.888121,0.050532337,0.0014204582,0.07159762,3.57102,2.462208,0.24074419,0.20349143,0.15529999,0.21056096,-23.503155,voice_recordings,lecture.wav,Trust-UBA-V2/dataset/37/voice_recordings/lecture.wav,0.8650362169828932
0 days,0 days 00:01:03.914687500,25.067549,0.28422195,21.34064,23.80503,26.547468,5.206829,378.02075,799.90063,136.75154,230.87552,0.47910482,0.92829514,0.05235186,0.3920641,0.79338735,0.7410355,10.940098,6.370544,9.450559,6.256745,0.21017572,1.1716229,20.65172,0.9719895,-6.4087453,-2.3487737,8.003948,2.3056126,-6.9454136,-2.2953436,0.025074204,1.1772275,1.5934014,0.7221338,2.6852543,0.9495273,0.95301276,7.618755,15.81309,0.6875762,576.72034,0.42564783,1290.5721,0.20445646,-111.305664,-0.8590363,1616.0289,0.1800777,954.3623,0.33059815,-112.44202,-0.81066483,2659.7334,0.10539472,901.4812,0.34724355,-114.14487,-0.7800508,-8.513977,-1.0412742,18.54706,0.52685976,0.050769955,0.4806257,-0.015293342,-1.2723386,0.3106933,0.8314403,30.959372,0.49282065,-5.7012243,-2.7276874,9.242748,2.2064424,-9.127494,-1.9034111,-0.6810571,10.611769,0.040120706,0.012794255,0.12612963,3.6306732,3.0383713,0.14097938,0.1297562,0.17265956,0.26114383,-25.739847,voice_recordings,lecture.wav,Trust-UBA-V2/dataset/40/voice_recordings/lecture.wav,0.8589583370003344
0 days,0 days 00:00:55.808000,26.832537,0.1301343,24.890913,26.834217,29.24514,4.354227,134.31244,273.70923,49.079414,53.38726,0.34767866,0.7895407,0.09785756,0.27722856,0.55648005,0.4586225,7.3407993,4.1886263,6.6374154,4.408824,0.18038273,0.7966922,21.367443,0.7677836,17.475811,0.7443393,16.3414,0.97095567,11.440086,1.5255029,0.022944942,1.5259473,1.4598639,0.57177615,3.4238052,0.6709236,3.0443857,7.0997853,22.390337,0.45338526,491.8485,0.30979183,1245.2795,0.15520905,-149.27847,-0.55225074,1554.5762,0.14425674,912.052,0.326592,-152.5279,-0.5008545,2655.4663,0.084840395,854.63477,0.35575452,-154.17622,-0.47840258,-16.304285,-0.4141337,24.419552,0.33335882,0.00480979,4.230194,-0.026633838,-0.6001804,0.28636944,0.5430716,31.964396,0.3170698,9.942894,1.3585677,14.766754,1.3402323,-2.900945,-5.9612,-19.00042,27.017315,-0.046793096,-0.0034654574,0.1427328,4.050905,2.4040186,0.100373134,0.08106021,0.30198473,0.43862104,-28.703455,voice_recordings,lecture.wav,Trust-UBA-V2/dataset/24/voice_recordings/lecture.wav,0.8179481637356694
0 days,0 days 00:01:02.508125,32.068783,0.12205779,30.527964,31.519653,32.610043,2.082079,424.87073,631.71295,89.852844,163.32697,0.5873599,0.9207133,0.08899747,0.4381769,1.0247083,0.9357108,14.762116,8.97133,11.953221,6.6574154,0.28110698,1.2417256,25.835602,0.6217106,-5.722042,-3.1190393,18.68505,1.0240107,-7.527544,-2.57269,0.019603072,1.3644414,1.3431897,0.7694069,5.7939467,0.5048497,2.1903594,3.9981701,16.878708,0.6770491,542.98114,0.40682703,1329.2689,0.18198842,-100.01466,-0.9437327,1622.1908,0.14348927,929.80225,0.39030915,-99.21902,-0.8963208,2691.0186,0.0958139,1047.1552,0.3958646,-100.43339,-0.8733252,-8.942763,-0.7621623,17.817163,0.49487954,0.05751207,0.42424673,-0.020257622,-0.7481583,0.37417513,0.8049517,32.570892,0.32981804,-12.758988,-1.1898559,23.762268,0.8567437,-17.92583,-0.96417624,-7.682746,16.626125,0.0127229085,0.0038967698,0.17167303,4.4007044,3.2671366,0.15534315,0.12784941,0.13863873,0.22808379,-24.0639,voice_recordings,lecture.wav,Trust-UBA-V2/dataset/75/voice_recordings/lecture.wav,0.8742552210764811
0 days,0 days 00:01:08.437375,36.251923,0.12671919,33.24695,35.804092,39.212715,5.965767,190.8124,258.7999,192.56377,459.8078,0.63368654,0.90020424,0.11378787,0.48948982,1.104687,0.9908991,13.560634,6.7265067,8.328266,4.8649282,0.27570936,1.063642,30.414047,0.57884485,-11.450098,-1.813993,5.922121,3.293753,-8.967599,-2.1218667,0.022876745,1.748515,1.2909403,0.726013,7.282339,0.5724151,6.8009253,1.5125563,22.921225,0.65708226,729.79407,0.28233248,1373.5083,0.18750641,-78.26663,-1.1414537,1752.9403,0.12089046,1076.7675,0.31799808,-75.56814,-1.0911926,2782.5146,0.10483949,1008.6598,0.35714057,-80.32803,-0.98786414,-9.65742,-0.9157845,20.667252,0.59095305,0.07725122,0.23890553,-0.02206504,-0.7673539,0.37045294,0.809729,36.71047,0.38041028,-13.719585,-1.4637215,8.1468115,2.4583418,-14.111673,-1.2937138,-2.1829553,12.555318,0.0797248,0.0140151195,0.07759477,3.1569717,2.25245,0.2914935,0.26246032,0.14183098,0.25642073,-22.238781,voice_recordings,lecture.wav,Trust-UBA-V2/dataset/72/voice_recordings/lecture.wav,0.8321776224044449
