F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,Part,Name
16.9445,0.004675949,16.901089,16.937063,17.007065,0.105976105,5.447484,3.9559574,5.310154,1.8740344,0.07181807,0.2930493,0.051931724,0.06975949,0.08609775,0.034166023,0.47100028,0.21494362,-0.21170925,0.33906215,0.008957137,0.5062196,10.041506,0.4574843,9.854544,0.51084304,20.979832,0.30504957,13.879612,0.3700969,0.019393764,0.8735222,0.776343,0.7071146,2.4826164,0.27350995,37.569576,0.880808,17.723335,0.13905722,1087.6709,0.07730555,1083.2622,0.37280405,-152.43149,-0.50759494,2115.6663,0.08321882,1113.3365,0.44205037,-151.99239,-0.5134386,2948.968,0.0831416,1045.6814,0.26208016,-152.0409,-0.51274157,-12.351093,-0.13191174,19.203403,0.105665736,-0.033562288,-0.23420982,0.03280145,0.16909413,0.010392896,0.23710461,9.872009,0.31465173,8.64524,0.287741,27.911814,0.10500479,16.48361,0.1732975,-9.544691,15.892637,0.004779876,0.024051396,0.008440884,2.5125628,1.0309279,0.255,0.225,0.45999998,0.4292629,-55.80236,Train,rUGAiuYHNgE.002.wav
19.257696,0.37382352,16.816011,17.601252,17.926355,1.1103439,1497.6952,1060.4938,127.97496,0.97294617,0.21003044,0.5026551,0.1280263,0.19646735,0.26591697,0.13789067,3.4157994,1.0328583,0.2208926,0.74374646,0.10128513,0.49163443,30.044935,0.34379977,17.248278,0.5726775,0.9454521,12.021101,6.429986,1.6428207,0.057186224,0.6475121,1.6656265,0.4815544,0.8326739,2.178892,8.548745,2.8681,30.812597,0.5686808,904.854,0.21010861,1337.5944,0.08241105,-162.17856,-0.40884048,1952.4797,0.08817936,1160.467,0.14069878,-162.377,-0.39431885,3059.0645,0.04919809,1035.607,0.17595632,-164.11803,-0.37282,-31.224726,-0.2355091,43.003433,0.18203256,-0.06557217,-0.48084715,-0.013666912,-1.200582,0.114971004,0.33320653,28.353424,0.31237277,24.59867,0.30899048,12.563035,0.9471695,15.553831,0.6958976,-20.58795,31.318863,-0.029684993,-0.023314947,0.09731061,2.5125628,2.5773196,0.08399999,0.085463434,0.28399998,0.27601448,-33.748222,Train,X1EjfXX3NTk.000.wav
32.567772,0.5067822,20.96659,22.946068,54.004173,33.037582,340.06934,28.713715,68.97399,74.85372,0.2588308,0.35827342,0.18749285,0.2475354,0.31739813,0.12990528,3.2501085,0.7613874,0.74635047,0.47922236,0.10200711,0.38332614,29.769943,0.34156257,8.468078,0.9972339,3.8456414,1.8542058,3.4034898,3.070368,0.04980423,1.8938602,1.151092,0.53135526,6.3608904,0.804166,14.67252,1.9151137,16.902138,0.8297935,583.6213,0.24424206,1215.598,0.16106492,-171.67636,-0.37200168,1648.434,0.13177511,1144.2324,0.18246908,-161.33322,-0.4282443,2732.8162,0.10003759,913.7345,0.22936322,-162.907,-0.40764195,-23.847836,-0.23466548,34.617565,0.24534333,-0.052906074,-0.51858926,-0.02600866,-0.21007422,0.110533856,0.45099086,35.322857,0.14375672,8.771183,1.5052313,3.8500905,1.1952724,-0.45324418,-16.498138,-14.789728,23.717789,-0.0420983,-0.010431807,0.099197686,3.0150754,2.0725389,0.099999994,0.040620193,0.3575,0.20765054,-34.13393,Val,X1EjfXX3NTk.002.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30124116,0.1376541,0.27734494,0.30690682,0.3247018,0.047356844,1.2502136,1.1527115,2.3279638,3.0757303,0.06832325,0.3993945,11.992295,0.3720501,3.2819111,1.8684143,2.7682338,2.7416463,-1.908362,-4.1627913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.1527567,16.014587,-0.009447208,-0.00023082923,0.06864906,4.0201006,0.0,0.0,0.0,1.93,0.0,-40.115585,Val,nB-fPmvZg3U.004.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04623669,0.50138175,0.033154204,0.04695363,0.06463872,0.031484514,0.8787722,0.4096225,0.37126565,0.15752734,0.0077440087,1.1026169,12.498782,0.8590468,-0.003204316,-2660.4038,5.015382,1.1151905,2.132179,3.6008742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.074128,17.98527,0.021484666,0.021807916,0.008152512,4.0201006,0.0,0.0,0.0,1.93,0.0,-56.754528,Train,N4tuu9aCXkw.003.wav
37.570904,0.014589211,37.086525,37.372074,37.964138,0.87761307,0.0,0.0,-0.10687974,0.0,0.05818807,0.5903443,0.03762345,0.04326998,0.065468475,0.027845025,0.38362643,0.28753302,0.31467864,0.1933896,0.005112809,0.9657338,12.026506,0.50669885,-8.229941,-0.99255574,-9.379836,-0.5425137,-7.032041,-0.9919451,0.0059181424,0.4483996,0.8870149,0.30632257,9.331328,0.13358222,6.2221923,1.2585052,17.640512,0.57645994,762.496,0.2911186,1409.592,0.13347003,-187.12395,-0.27365997,1610.814,0.104502924,1162.8762,0.153193,-183.5449,-0.30239442,2713.672,0.13027135,879.93494,0.43337902,-184.68526,-0.2812026,-5.3977647,-0.9149502,20.698254,0.42615107,0.06906864,0.5161128,0.0068437345,1.6773075,0.018491281,0.2844102,24.812084,0.18822482,-8.338879,-1.5838296,-18.86392,-0.3575165,-12.900063,-0.44081894,-2.6700318,11.496982,0.051951125,0.019883974,0.0039866134,1.5075377,0.51546395,0.16,0.0,1.76,0.0,-58.258785,Train,yVSfQZGt1co.004.wav
17.270494,0.107153796,15.13765,18.459133,18.98541,3.8477612,2.4781897,0.0,25.845625,0.0,0.59918475,0.14132847,0.5221427,0.5894375,0.67718077,0.15503806,1.9360847,0.52909476,1.9140497,1.3112321,0.27150473,0.5181129,15.266348,0.398633,8.698746,0.6821407,16.17248,0.30596417,0.88963324,9.015094,0.017773276,0.6829852,0.9493648,0.45667776,1.4405502,0.72186255,7.0099077,0.28618005,16.729626,0.15773955,648.39233,0.27717435,1426.2277,0.115144424,-176.19865,-0.34376013,1626.2184,0.12873642,1109.1158,0.16685657,-176.92061,-0.33200037,2612.6309,0.09330635,921.07245,0.28965297,-176.7542,-0.33485976,-12.169652,-0.08748029,17.181349,0.113902025,-0.037354283,-0.16509694,-0.0096649695,-0.5450905,0.17461516,0.21715188,15.434155,0.08083534,9.066297,0.2951265,18.609518,0.1189048,0.77582234,7.515653,-10.322823,17.262918,-0.030142263,-0.0052058687,0.29089627,4.522613,1.0309279,0.12,0.02,0.55,0.6021628,-28.24543,Train,OeT6Skotv7g.004.wav
27.876354,0.0015295382,27.84292,27.891037,27.908201,0.065280914,3.9916675,0.7663084,1.7555026,0.0,0.3221483,0.12873167,0.2923246,0.3213765,0.3511026,0.058777988,1.7448777,0.95795524,0.7957054,0.4585819,0.15168008,0.6446326,11.807733,0.2978756,-0.18422377,-22.433142,3.7760108,1.298371,-8.662425,-0.6944078,0.0074694203,0.91146845,1.1585759,0.4943481,4.158034,0.19753027,-8.55312,-0.08052593,5.494714,0.5708913,418.68716,0.20211594,1326.6998,0.15398069,-186.32068,-0.2636839,1285.4965,0.050529175,1201.7037,0.1590897,-186.07457,-0.25927144,2344.3499,0.028917093,671.4243,0.098440066,-186.2202,-0.25690302,-9.838196,-0.30914515,18.598299,0.24485095,-0.012959044,-1.0948355,-0.0037921513,-1.6924573,0.08422687,0.5226703,15.30898,0.18528776,1.6887423,2.9093435,4.168124,0.6441067,-13.71869,-0.64569515,-11.572217,22.324408,-0.026902998,0.0010426891,0.15427569,7.035176,1.0309279,0.065,0.035,0.58666664,0.3578019,-33.666603,Train,eXtskPoi58A.001.wav
25.758627,0.18780403,21.073202,29.01939,31.064611,9.991409,135.11214,119.67166,37.903484,28.42226,0.1217189,0.253094,0.08856866,0.12025899,0.14082666,0.052258,0.7586163,0.48866504,0.3488023,0.13976711,0.016491778,0.7502455,21.757349,0.19114609,4.211135,1.380343,10.767076,0.55273896,8.6540785,0.9430698,0.022572502,2.950905,1.0224683,0.633672,5.243691,0.5144888,9.023687,1.148997,24.20752,0.33809832,888.3396,0.22259672,1391.794,0.24030393,-81.13576,-1.0534829,1848.3046,0.12183903,1175.1399,0.19889991,-82.41727,-1.0073539,2846.1077,0.082108796,1083.8026,0.33051485,-86.1874,-0.9316858,-11.483443,-0.36356962,22.893602,0.2573502,0.027874915,1.2501292,0.012225336,0.6363778,0.017573524,0.5659686,23.195284,0.1764422,5.112171,1.3367325,10.621387,0.62444204,11.329704,0.66035205,-9.464093,18.787292,0.037152953,0.012593045,0.015003764,2.0100503,2.5906737,0.242,0.17881833,0.1575,0.13553135,-48.529163,Train,CTWMisL_HlI.000.wav
15.504083,0.09771571,14.089813,14.372099,17.515835,3.4260216,34.919186,34.476616,7.078343,4.629923,0.2092727,0.7316956,0.07869002,0.14023738,0.33021358,0.25152355,5.3162317,2.860264,5.0670033,5.1997085,0.06375964,0.76628786,25.137684,0.53915197,11.042428,1.0572103,6.2570395,1.3368183,5.2319713,1.7790469,0.013980141,1.5262375,0.6743813,0.7750125,2.442034,0.35866666,8.812644,0.2503683,38.513287,0.17745048,747.8561,0.21141933,1286.8136,0.22081108,-79.79257,-0.98427635,1873.7722,0.08048039,1185.5154,0.21655013,-91.66199,-0.7672026,2945.1577,0.061044198,1055.1227,0.20199025,-95.01739,-0.7177533,-26.238947,-0.2885854,37.58673,0.21617396,-0.05367518,-0.21944813,-0.007865911,-1.8174542,0.04882316,0.6023574,31.105785,0.2848494,16.117945,0.5004156,8.339212,0.8401318,4.2190466,2.1819096,-8.443484,19.610329,-0.03563561,0.008883639,0.09825354,4.0201006,3.626943,0.17571428,0.12175586,0.08,0.04342481,-39.019775,Train,QipgesEKSNA.002.wav
