F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,Part,Name
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04292234,0.47140497,0.027018173,0.034407485,0.067916185,0.04089801,0.20246145,0.12522538,0.24536383,0.3795668,0.0064137112,0.48191768,17.441916,0.22903244,3.7257054,2.3527484,7.2574368,0.74992913,7.872205,0.67642975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.4505825,23.726116,-0.010330656,0.015978998,0.006340679,2.5125628,0.0,0.0,0.0,1.93,0.0,-62.337875,Train,uwUkp63db18.005.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03269731,0.29490858,0.024708342,0.030032692,0.038217254,0.013508912,0.19834812,0.15558496,0.044579808,0.041250374,0.0022818367,0.431123,9.543899,0.3750597,5.15023,1.5436815,8.149918,0.72270507,4.96545,1.335848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.9557724,13.462284,0.019871356,0.021801932,0.0022514227,2.5125628,0.0,0.0,0.0,1.92,0.0,-68.395905,Train,zNmuwZkaeVg.001.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037378125,0.4271895,0.023342466,0.033339676,0.05073362,0.027391152,0.24484338,0.1098112,0.2602697,0.24751858,0.0065066004,0.5737151,13.625561,0.33037534,5.183876,1.801156,5.3833823,0.818487,9.144475,0.5443622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.450641,22.96369,-0.017277421,0.018512974,0.0065514874,2.5125628,0.0,0.0,0.0,1.93,0.0,-63.172516,Train,uwUkp63db18.004.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026014809,0.2574879,0.021863157,0.023349807,0.02969285,0.007829692,0.17394266,0.26084778,0.12293811,0.12808616,0.013181934,1.6528788,21.287355,0.13745809,7.5355487,0.7988206,6.4544997,1.0109543,9.163478,0.68252647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.458532,32.571014,-0.019596241,0.014423841,0.0131730735,2.0100503,0.0,0.0,0.0,1.93,0.0,-53.24798,Test,yOzHZOg95Ug.000.wav
46.020466,0.0011537502,45.976227,46.00155,46.0637,0.08747482,0.73280334,0.0,3.2231143,0.0,0.025391022,0.7058305,0.015964026,0.018142024,0.027691953,0.011727927,0.30670875,0.41053364,0.34075832,0.20026839,0.0050027347,1.1643018,21.753534,0.302306,10.710635,0.6542329,11.49208,0.70378715,1.2894133,6.5689087,0.040881947,0.4976221,1.5047439,0.39244696,7.0969963,0.21524945,14.520417,0.11804055,27.930992,0.07953747,838.8406,0.13257758,1179.3617,0.17691334,-192.33826,-0.17707248,1922.5593,0.07419324,936.9092,0.18237138,-192.23495,-0.17311601,3025.55,0.05185659,835.35706,0.11011475,-192.83975,-0.16020717,-22.285866,-0.09852034,32.231827,0.09460522,0.06453414,0.48533222,-0.0027981107,-2.6231985,0.024546152,0.30732515,33.614826,0.14652324,3.0703456,4.349124,-6.7042027,-0.8591324,-17.898794,-0.52895033,-17.396097,27.25584,0.010752897,0.015258142,0.003939374,1.5075377,0.5181347,0.07,0.0,0.91499996,0.815,-59.91226,Val,v5hZeuRW6m0.003.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054690618,0.19523777,0.04469421,0.05198102,0.064483464,0.019789252,0.18161552,0.109126374,0.16789183,0.13100141,0.0044892537,0.36831167,5.247617,0.4244384,1.0201119,7.0832095,10.757199,0.4363212,11.199329,0.46077678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8512375,12.58631,-0.0014965956,0.02669489,0.0045388397,3.517588,0.0,0.0,0.0,1.93,0.0,-64.69208,Train,KnbEca4Ibwk.005.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048961125,0.45740026,0.03197638,0.04382011,0.064513,0.03253662,0.24873349,0.2310339,0.64404297,0.65982187,0.004525047,1.0338012,6.925631,0.5157498,-0.7111966,-11.911651,0.7334584,14.56882,0.9786598,7.1211843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6723669,13.186664,0.0089207245,0.026734088,0.004609465,2.0100503,0.0,0.0,0.0,1.93,0.0,-61.576477,Val,1ajEXdEsJ-k.002.wav
29.063381,0.0048357956,28.91418,29.089485,29.17812,0.2639389,4.4669423,0.54815936,2.1289825,0.0,0.040709276,0.38402325,0.03090156,0.035277337,0.05165634,0.020754779,0.48959538,0.7169103,0.11965711,0.03185746,0.004288253,1.5574143,11.719104,0.74715114,-3.895274,-1.7293302,18.897121,0.37310317,6.328669,0.92069584,0.010252504,0.8500364,0.8573813,0.7471095,7.1472654,0.3182269,20.378284,0.044857632,43.920353,0.093720265,713.30914,0.16939941,1427.7225,0.15570393,-187.9562,-0.2403964,1824.6046,0.059248902,938.0622,0.29018584,-188.7488,-0.22416987,2930.0664,0.07353237,1041.2246,0.16231468,-189.18286,-0.21545182,-23.691664,-0.386152,27.88956,0.35935882,0.03451638,0.45455095,-0.002132007,-4.36999,0.023224669,0.61676836,32.77108,0.2734304,16.033722,0.5524263,24.259626,0.24238862,10.712555,0.27863613,-0.5052342,2.8150287,0.022883039,0.014246837,0.0029312423,1.5075377,0.51546395,0.13,0.0,0.89,0.35999998,-55.690826,Train,jxt1W2WRNHQ.003.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034720868,0.09729278,0.032174546,0.03396,0.036863476,0.0046889298,0.11009186,0.051381305,0.09318111,0.056541033,0.0027295223,0.22219399,13.216215,0.14958878,3.7919629,1.3226433,2.0927837,1.8783554,-2.3658183,-2.6515768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.124689,23.057356,0.011724712,0.00870545,0.0027296492,11.055276,0.0,0.0,0.0,1.93,0.0,-67.48689,Train,ztyBhnjtrz0.000.wav
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20452988,0.084530585,0.18927863,0.20041955,0.21840316,0.029124528,0.46708298,0.33412683,0.46988586,0.30347282,0.059044052,0.32642105,18.07434,0.12186092,2.1699693,1.481793,14.931578,0.3554765,3.122809,1.6676607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.22668,18.845066,-0.025206508,0.00628701,0.058847245,7.5376883,0.0,0.0,0.0,1.93,0.0,-42.491135,Train,0iQIfGnKflc.002.wav
