F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,Name
16.19325,0.3497424,13.040206,15.634902,17.501558,4.4613523,294.43137,311.45398,71.28708,30.647326,0.34315038,0.50948685,0.18739238,0.2885464,0.49059722,0.30320483,6.9238577,3.6069586,2.784565,0.8775814,0.18242057,0.49146986,13.721833,0.8427146,17.04111,0.6926019,14.520071,0.71516967,22.826595,0.47403523,0.045429427,0.96509707,1.3154031,0.5996853,-0.09218011,-32.98001,9.278302,2.9117396,26.393606,0.72719604,970.2863,0.21684352,1199.1809,0.24633972,-155.45212,-0.45404732,2000.5282,0.12155615,1093.3812,0.30163002,-155.51613,-0.44862318,3063.1553,0.09356998,977.77856,0.2808251,-156.81181,-0.43200526,-19.818195,-0.44179988,28.518196,0.39569488,-0.06900543,-0.3349081,0.006051724,1.6771351,0.1893202,0.40873796,17.240452,0.73500496,19.084389,0.65808785,16.116148,0.6629925,26.734415,0.36966535,-14.525772,22.291344,-0.05543531,0.0074337902,0.18102324,4.381949,2.952756,0.08155555,0.059327915,0.23666665,0.15215488,-29.57474,mZQP06F94u8.004.wav
21.122353,0.3160086,18.987455,19.993155,22.05086,3.063404,280.02103,428.5894,90.89703,61.89472,0.26585454,0.28438827,0.20231858,0.25760785,0.33008075,0.12776217,1.848496,2.4302711,1.0607741,0.7467908,0.07732307,0.45115867,20.847399,0.26039168,-3.3428733,-2.6234312,20.91194,0.44933277,15.735095,0.6375467,0.02882508,1.0501351,1.2368795,0.53056896,2.4528356,0.6045675,14.867898,1.1242424,17.701786,0.46596712,866.86456,0.26731506,1241.3715,0.24132015,-139.32268,-0.57110924,1842.6868,0.12556894,1061.3875,0.24863383,-137.21634,-0.58560777,2811.4785,0.08710918,1020.4987,0.34808004,-138.2832,-0.5710081,-11.903461,-0.44019413,17.87198,0.41146123,-0.0334993,-0.7777307,0.008726417,1.2687354,0.067003466,0.37323767,21.975157,0.2458918,-1.4230249,-6.465517,20.583553,0.47975174,17.58416,0.6473035,-8.991101,13.185938,-0.02702262,0.0057206475,0.083275415,1.8966645,3.8057745,0.082068965,0.066507936,0.16571428,0.22800264,-38.00969,hspeWl-Bip0.000.wav
15.121987,0.37960026,12.858292,13.769005,16.512962,3.6546707,467.20877,1052.9443,166.30054,198.13075,0.2253198,0.31279334,0.16817817,0.21300144,0.28559443,0.11741626,1.648875,1.283617,0.8336495,0.73536444,0.08259438,0.6349929,30.880013,0.21283722,-0.21370916,-36.38854,8.751658,0.81139296,7.872426,1.0388173,0.031268016,1.132364,1.1482298,0.6597834,-0.04054919,-56.26594,-1.3385773,-40.790936,-4.005885,-10.521869,698.3962,0.31618863,1259.9669,0.16194011,-152.45491,-0.4976662,1728.9028,0.16633268,1068.7854,0.20844889,-153.48424,-0.48004112,2791.1045,0.10348888,1006.752,0.4430584,-155.4809,-0.454415,-17.84175,-0.3291975,28.84397,0.2434818,-0.044366237,-0.38071308,-0.0015346267,-4.9258103,0.07348324,0.5751381,31.214931,0.17813465,0.1035894,75.88954,11.023039,0.59274286,6.7671046,1.1430705,-15.931638,28.057884,-0.04723513,-6.550108e-05,0.085519224,2.35448,2.4278216,0.10108108,0.1642803,0.32424244,0.39813223,-33.6148,bcRPLKygrNk.003.wav
18.835846,0.17301561,17.828077,20.045155,22.049395,4.2213173,54.854275,68.46042,35.299355,50.79883,0.5201802,0.18727592,0.42495194,0.5340185,0.60889846,0.18394652,1.8863704,0.9909402,1.85352,1.2573609,0.1690582,0.41854027,14.448575,0.4133549,8.790462,1.0313919,12.925742,0.50900793,3.6902723,1.7052535,0.007265859,1.514821,0.839377,0.60246694,2.2769642,0.6197143,10.909069,1.0875506,18.019209,0.34774143,746.9083,0.23973593,1326.997,0.19711982,-142.7084,-0.57642835,1781.6293,0.12897326,1073.5667,0.24269979,-144.5869,-0.5498285,2716.006,0.08299716,914.9531,0.31263295,-144.25679,-0.5544933,-11.338795,-0.3249805,17.080976,0.2671392,-0.018329682,-0.740436,-0.008426332,-1.0198753,0.1276712,0.3881791,16.481525,0.33973202,9.649531,0.99170625,13.814397,0.5231909,3.199923,2.0267837,-10.056495,17.116623,-0.023781234,-0.0049720816,0.18827364,4.1857424,3.026316,0.09108696,0.05394152,0.22399999,0.54592794,-31.721651,vCY4uvfrWXA.003.wav
18.374105,0.31860593,14.608847,17.26914,18.474667,3.86582,278.9292,364.13718,130.36565,149.89333,0.1944619,0.5773944,0.10851533,0.16519691,0.24671379,0.13819847,2.793125,2.6372557,1.2205825,0.6356249,0.09142653,0.8221568,15.258421,0.65228975,12.339586,0.8796524,18.10832,0.6056844,13.914959,0.7542968,0.023261797,1.3409139,0.81062335,0.66472536,2.4341278,0.907412,5.2316313,5.2720094,21.623886,1.3203503,943.8692,0.19766092,1255.1731,0.20050074,-140.70416,-0.5492992,1938.7383,0.104103826,1100.7756,0.23563041,-141.41231,-0.53721106,2968.8552,0.06701996,981.5713,0.3348801,-142.58366,-0.52187765,-21.02311,-0.37315825,29.427849,0.2969517,-0.06099666,-0.51356155,0.010144211,0.8838227,0.06839299,0.6849602,18.117361,0.51802874,16.253708,0.7103354,22.047743,0.4479805,17.05584,0.55336106,-17.62113,26.77595,-0.050671566,0.011255977,0.104538664,2.877698,2.9546947,0.10977777,0.1130288,0.21318181,0.18914607,-33.80034,sSR1a5XW7n4.004.wav
16.53615,0.23149219,13.154106,15.147619,20.13571,6.9816036,164.86201,317.9016,69.15224,70.92934,0.14191672,1.881476,0.080831915,0.117282115,0.16446784,0.083635926,1.2973809,0.86714375,0.47196674,0.0,0.046643678,4.100276,28.758383,0.29811478,16.93606,0.49792272,12.102964,0.82989293,7.0389605,2.0251324,0.018327743,2.556213,0.88907325,0.6918554,1.9438463,0.8815114,33.54669,1.432312,25.805841,0.42282632,729.6535,0.32242832,1376.1481,0.19399078,-51.3272,-1.3641396,1790.5801,0.13903,1148.2578,0.25981626,-61.10207,-1.0656546,2885.5881,0.09188713,989.2505,0.318149,-65.850945,-0.9523536,-19.520525,-0.36073944,30.69789,0.22192626,-0.020421302,-1.3802402,-0.001456423,-9.486756,0.032545507,0.56033385,29.43947,0.24992701,16.758392,0.4976479,12.581269,0.7981888,8.199316,1.817242,-18.292341,26.103117,-0.0019944662,-0.009136714,0.10482488,0.065402225,2.1667762,0.36090907,0.41741893,0.09103448,0.110183075,-33.433495,NDC375coN1o.001.wav
18.198551,0.14724356,15.045468,19.923716,20.088644,5.0431757,17.587759,15.144382,7.6165347,8.802545,0.47994995,0.4062911,0.2930293,0.45360443,0.63066053,0.33763123,6.5145817,3.0062065,2.1812174,1.0970217,0.39237955,0.5522208,26.920324,0.3797849,29.007154,0.26213327,26.471893,0.29589853,8.056457,1.321269,0.014536493,1.3720492,0.87872326,0.7207284,2.686166,1.0086664,12.654465,1.6663487,34.44396,0.2842872,670.7779,0.38089213,1451.4856,0.16713078,-56.707836,-1.1617874,1799.3353,0.12813488,1223.2184,0.2572801,-68.656654,-0.8660196,2842.3665,0.085423574,1014.4376,0.26705623,-69.04834,-0.85750747,-28.80421,-0.24433169,36.76937,0.23913926,-0.051671937,-0.6263282,-0.018910663,-0.6673807,0.34979054,0.47840166,27.849644,0.3789235,29.456327,0.2574032,26.87004,0.27665833,8.122343,1.3244413,-26.040966,33.797756,-0.055935,-0.016238788,0.5851447,3.0085022,2.232436,0.355,0.29600525,0.07903226,0.05473425,-21.837704,Wbd7QufjK_E.002.wav
24.711418,0.3147699,15.206243,22.303904,31.061974,15.855731,323.78186,545.7432,169.44797,149.2511,0.43830648,0.37701228,0.3151328,0.39077762,0.53321236,0.21807957,4.885051,3.3583052,2.5240223,1.4965411,0.242458,0.5835431,33.974915,0.29953226,9.98125,0.99604195,7.924577,1.2308395,-3.0488186,-3.531334,0.04572678,1.4946827,1.4482459,0.5962707,2.7273738,1.1668464,0.79754245,27.206745,25.733229,0.7801685,732.3807,0.2928638,1398.737,0.18575828,-107.23732,-0.86686367,1783.5443,0.12332729,1170.165,0.25208232,-112.616394,-0.7654089,2875.5735,0.083506785,993.5185,0.27951306,-116.60421,-0.70605433,-19.513826,-0.32693595,31.209812,0.22442588,0.028819133,1.3432465,-0.01952748,-0.5010189,0.21537866,0.6905262,32.879185,0.30306575,11.642634,0.75672245,6.4815674,1.4879384,-4.4524746,-2.3279512,-17.659792,29.092949,0.004455491,-0.018049778,0.26889098,3.204709,3.4799738,0.12943396,0.15028796,0.15124999,0.1425749,-28.176247,O2wMPdp2-Is.002.wav
21.216536,0.15074335,17.137589,22.039612,22.097221,4.959633,181.12514,200.59981,85.063614,68.20065,0.2031284,0.2679365,0.15579015,0.19650348,0.246878,0.09108785,1.4499396,0.8265696,0.81280696,0.42487946,0.0747425,0.65438634,31.780699,0.21191499,5.45205,1.6860195,6.15548,1.3108494,6.231681,1.1937358,0.02819434,3.0463684,1.2917316,0.54855657,2.3362145,0.7248099,4.6410427,2.4384446,26.600897,0.41842598,741.6265,0.30738062,1404.1421,0.1427366,-116.23626,-0.75973123,1737.6539,0.15860671,1248.7664,0.19905421,-120.05949,-0.6985131,2810.2898,0.101753935,1099.374,0.3295953,-124.00861,-0.642741,-16.131523,-0.30462018,27.682713,0.21850914,-0.022388339,-0.7355568,0.0018022803,4.9497614,0.058583483,0.49695012,33.053165,0.19747855,7.0167027,1.3051606,6.9245663,1.192778,7.2373376,0.98440367,-14.441304,25.872086,-0.0242303,0.0019819553,0.08822822,3.8587313,3.6112936,0.11436363,0.11463401,0.14754717,0.18776649,-38.623608,84emxO86qa8.004.wav
25.78793,0.47019267,17.047377,17.251228,29.079878,12.032501,123.75052,34.618935,1345.7798,1601.3646,0.17961054,0.43102673,0.11259879,0.16061401,0.24598041,0.13338162,1.1318961,0.78677875,0.7760729,0.40968767,0.053979155,0.5885069,24.180166,0.31311998,-1.1468636,-6.6339455,8.653264,0.90833277,6.635929,1.2496547,0.024424465,1.1896392,1.4381602,0.53803045,1.7839195,1.1886457,10.713148,2.6838527,17.52233,0.69310147,669.47327,0.3654329,1331.7739,0.18905792,-192.08153,-0.19254388,1659.6244,0.15828928,1189.4012,0.2942376,-190.40944,-0.20971037,2649.4006,0.10583257,983.1258,0.254407,-190.70023,-0.20396103,-11.1561365,-0.7036896,20.747156,0.47243208,-0.013023117,-2.0165238,0.0058395052,1.8795338,0.040919296,0.5674187,20.866322,0.42786574,2.0127218,5.131275,9.454869,1.2627861,7.681665,1.3344543,-10.921078,20.350254,-0.018967975,0.0051576095,0.054773312,2.8122957,0.9186352,0.05142857,0.028749444,0.9486667,0.9820582,-42.825394,mqDv8688ztg.000.wav
