F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,Name
22.89729,0.08787508,21.714859,22.405403,23.381798,1.6669388,93.84279,127.79189,12.002447,9.422328,0.7165213,1.0534164,0.07771509,0.43305838,1.2786497,1.2009346,13.204416,7.5257397,9.2968645,8.1046505,0.35068202,1.0363457,29.395697,0.5030137,1.9044815,6.0264373,18.67991,0.6198453,4.6180596,3.2795873,0.014312353,1.2489878,1.1028498,0.96252865,4.8850813,0.38429886,2.145872,1.6011698,24.050503,0.4187754,558.30225,0.41801,1346.6207,0.1472312,-120.68304,-0.7714584,1590.7534,0.19190839,1038.8741,0.29070136,-124.88799,-0.7026993,2656.0164,0.12542838,1007.6098,0.40443218,-127.72306,-0.6603449,-13.904765,-0.5553998,23.97711,0.3736159,-0.0037845392,-5.8080525,-0.017669637,-0.8895373,0.58484566,0.6364218,39.717243,0.19849832,-1.8573122,-6.789788,20.542692,0.6600766,-0.90863526,-20.287996,-20.100443,31.671232,-0.040605605,0.008658917,0.1818207,2.1582735,1.7728169,0.22444445,0.2248511,0.3196296,0.34878078,-18.560806,mZQP06F94u8.004.wav
38.431046,0.12229268,36.222263,38.39194,41.208557,4.986294,146.85867,144.78748,82.069244,127.41686,0.5982891,0.797838,0.16600697,0.5103861,0.9478265,0.7818195,10.026374,5.6727014,5.3755713,3.1398728,0.3011465,0.9474302,28.219364,0.4513179,-10.886498,-1.5188416,13.776296,1.2760546,-13.11068,-1.2313778,0.024982728,2.0847683,1.1145954,0.6673345,8.762473,0.48301914,11.742689,0.974207,20.597122,0.607821,729.72156,0.2937306,1338.7133,0.18664923,-105.45877,-0.86001843,1794.8756,0.116118275,1091.4417,0.34611166,-100.03434,-0.8552995,2773.9539,0.091853626,983.82544,0.30222785,-101.21282,-0.83198744,-13.391235,-0.7553651,22.290834,0.51474524,0.07200147,0.29915926,-0.02095219,-0.7771287,0.42188138,0.65939844,32.555035,0.3202127,-11.128461,-1.6274252,15.072631,1.2637563,-17.206135,-0.8922663,-6.511663,14.690192,0.047921564,-0.0033034321,0.14200403,3.0085022,2.232436,0.24382353,0.24268126,0.21413793,0.26217285,-22.275345,hspeWl-Bip0.000.wav
37.7848,0.11729036,34.47453,36.832367,40.819572,6.345043,110.18737,122.209015,243.57997,456.88345,0.7328631,0.7300242,0.2679364,0.604927,1.1557475,0.8878111,11.24959,7.3894606,7.6089478,4.3053837,0.31243005,1.0009584,9.098454,1.9600364,-6.3777995,-2.426266,4.835579,3.294493,-5.4998837,-2.483397,0.017429905,1.0063094,1.1382558,0.6160827,6.833264,0.6440754,8.683766,1.2536204,12.088984,0.9672266,725.45685,0.38571873,1292.2197,0.2714069,-117.63303,-0.76696277,1735.1023,0.16405272,1070.4426,0.39996052,-103.66649,-0.857222,2752.361,0.09086803,976.9233,0.40048736,-104.95651,-0.8326923,-6.341846,-1.6070822,16.270563,0.617646,0.068963565,0.2794768,-0.0010648406,-15.904958,0.45158288,0.7150122,17.779234,0.7126959,-7.190027,-2.2743242,7.1984143,2.45382,-7.033788,-2.2755082,3.298374,7.5414653,0.048037536,0.014290333,0.1610843,3.4009156,2.624672,0.19,0.12918977,0.17947368,0.19143431,-23.270424,bcRPLKygrNk.003.wav
37.85968,0.14494985,33.535553,36.56626,41.179928,7.644375,202.71384,224.5731,111.10778,141.02649,0.78371674,0.8635923,0.15927808,0.5752185,1.4373459,1.2780678,14.145189,7.879248,8.496143,4.0838056,0.30666292,1.1731069,3.491681,5.44359,-3.9115067,-5.299941,-6.6733284,-2.7835891,-13.167311,-1.3594786,0.019498894,1.6483235,1.2904485,0.6223527,6.2492447,0.6672507,2.2866945,4.464976,13.131205,0.92423517,853.65234,0.3114261,1380.0701,0.25123775,-91.66718,-1.0554755,1792.498,0.134388,1153.5242,0.353657,-85.139786,-1.0756631,2824.0378,0.081157774,978.09784,0.32674527,-87.90622,-1.0074344,-3.2641423,-2.4385984,14.48218,0.68776613,0.0750738,0.2509927,-0.0086182,-1.6815134,0.46271318,0.80424726,11.898745,1.1749027,-11.649284,-1.7111621,-6.0647798,-3.4836352,-21.124737,-0.77359784,3.4316828,3.9215813,0.049422845,0.013690409,0.073268175,3.1393068,2.8270874,0.20139533,0.16407005,0.14842105,0.17162575,-22.797739,vCY4uvfrWXA.003.wav
25.294634,0.18447313,21.178429,24.61761,28.438877,7.2604485,394.39624,899.56323,88.2159,208.42578,0.68523735,0.6423472,0.2907436,0.6255815,1.0455954,0.7548518,10.927026,5.49576,8.113621,5.159447,0.34345073,0.8246409,27.25474,0.53978884,-3.3767786,-4.0996094,13.818145,1.2823288,-8.558451,-1.7010167,0.021308558,1.1490624,1.3474141,0.70686394,3.7744668,0.6085127,0.74164116,10.191019,19.085003,0.47277167,584.05914,0.39581594,1304.8794,0.16231114,-108.43868,-0.87413543,1659.5028,0.16861372,931.58936,0.32593808,-111.96728,-0.7941246,2655.397,0.10257194,921.8293,0.3106993,-112.68419,-0.7819636,-12.8421335,-0.5189915,20.633547,0.36636755,0.044138163,0.4592175,-0.0248495,-0.597088,0.48524156,0.586857,34.347282,0.28567573,-6.489076,-2.0794096,17.218222,1.0481911,-11.329131,-1.3669214,-7.9516153,15.709166,0.03546387,-0.0068659727,0.21989214,4.4473515,3.4845495,0.124716975,0.08446511,0.14480768,0.17678201,-22.480968,sSR1a5XW7n4.004.wav
24.631401,0.31186777,21.822903,22.56661,24.139805,2.3169022,785.20917,1138.5624,176.57289,148.42413,0.33941022,0.9518074,0.031077322,0.2579185,0.62137216,0.59029484,7.2917933,3.954585,5.462257,3.8949513,0.12629914,1.2113391,15.418678,1.5192299,-2.0910738,-6.5124083,1.5474002,9.770943,-8.935302,-1.7579829,0.016535994,0.9623274,1.4819276,0.67165124,3.766515,0.68742967,0.47470835,10.248246,23.368996,0.5997408,618.09875,0.36257228,1362.1765,0.19169894,-130.1111,-0.72987527,1642.8899,0.17713384,1066.2264,0.28493455,-132.49681,-0.667917,2736.209,0.10730646,915.00775,0.34446746,-135.02452,-0.62978417,-12.755884,-0.73554265,24.464355,0.52280277,0.05566205,0.31979382,-0.025091378,-0.772061,0.22573847,0.6493459,35.56497,0.48715177,2.236226,5.737877,-0.07880377,-245.30396,-14.242918,-1.039532,1.6537693,7.2391376,0.05004906,0.018333875,0.072001405,2.877698,2.1667762,0.15454544,0.14170158,0.295625,0.5560626,-29.03051,NDC375coN1o.001.wav
41.342377,0.12733588,37.089287,39.945076,44.71907,7.6297836,193.63614,254.50386,298.92645,651.2418,1.1852896,0.52552867,0.55218023,1.1971701,1.7895257,1.2373455,18.380993,9.949105,10.077217,5.359675,0.5153877,0.7790429,9.952252,1.3343241,-26.350256,-0.6604067,-7.415721,-2.29138,-26.261948,-0.6879079,0.023910634,1.7188118,1.1331226,0.6635682,7.2328515,0.62679803,2.8944364,3.3765564,12.049374,1.0190477,950.1667,0.24225447,1279.8556,0.24448243,-59.36587,-1.5203149,1833.8164,0.11252738,1195.4126,0.30367765,-53.18223,-1.5757402,2852.1653,0.079267345,971.23804,0.4003915,-58.21107,-1.3873856,-1.1592883,-5.875417,13.488403,0.6662977,0.074907035,0.27477524,-0.0019930194,-8.280116,0.61536235,0.6390393,13.570499,0.82601285,-29.672356,-0.5734197,-9.41538,-1.8143011,-30.002369,-0.5728427,3.3216631,5.1613784,0.044760954,0.005312036,0.23385541,3.9241335,2.0341208,0.35451615,0.20652016,0.119333334,0.11239612,-20.20684,Wbd7QufjK_E.002.wav
39.58498,0.10645225,37.01957,40.062637,42.502556,5.4829865,202.34935,349.4382,47.5632,42.722744,1.3367622,0.60353106,0.5713019,1.2628158,2.0797765,1.5084746,23.393436,13.246937,13.465044,7.9330554,0.78720313,0.8255119,19.787542,0.7637353,-19.358946,-1.0526069,1.1587253,17.334219,-23.27585,-0.85888827,0.023167603,1.7083756,1.2630897,0.63107866,7.126567,0.6589577,6.0752497,1.7764457,17.478926,0.80428785,822.2694,0.28548637,1308.734,0.19274065,-59.655937,-1.379207,1806.7554,0.12637684,1132.4069,0.3121394,-56.71291,-1.3329474,2810.158,0.084625244,1004.2757,0.38114154,-60.87039,-1.2000768,-6.708007,-1.4256485,18.320292,0.5845429,0.072376184,0.27340084,-0.011998059,-1.5471606,0.92597747,0.69760597,23.197504,0.5966384,-20.230375,-1.0413758,0.5875608,36.19113,-25.670792,-0.8014538,-0.17636584,9.047491,0.062082518,0.0029582197,0.32548073,4.054938,2.4294157,0.3056757,0.24885185,0.09264705,0.11196924,-16.408958,O2wMPdp2-Is.002.wav
36.244812,0.07452577,34.236263,35.689865,38.41098,4.174717,107.92308,156.70682,36.134953,51.613842,0.5111326,0.92380595,0.15168223,0.32565796,0.84559447,0.69391227,9.136555,4.5463533,8.362796,4.8919215,0.23426388,0.94898224,23.02728,0.6044787,-6.1602664,-3.5314085,9.757233,1.9086752,-5.412699,-3.4026976,0.01931174,1.752089,1.2849599,0.7677004,8.065534,0.40145114,2.2002854,5.0386276,14.332409,0.94467604,582.4843,0.27380192,1293.0972,0.18790856,-91.74124,-1.0027229,1660.1381,0.123711295,1013.60535,0.35170785,-90.62254,-0.9605645,2685.8389,0.0933114,1045.8414,0.42919272,-92.3102,-0.9272609,-10.555555,-0.9274347,20.600082,0.50090915,-0.0038745196,-6.2642875,-0.012390568,-1.3780396,0.3055134,0.8173985,28.064522,0.39699274,-10.783627,-2.084776,9.182035,2.1416361,-11.723821,-1.5561556,-18.785704,29.571396,-0.041384578,0.001761726,0.13356425,3.793329,3.4120736,0.16288461,0.13182646,0.10792453,0.10742892,-25.865759,84emxO86qa8.004.wav
25.73656,0.18159768,22.918262,24.403982,27.701948,4.7836857,625.91034,1171.127,142.66188,218.19002,0.44230884,0.85738,0.09554575,0.35673365,0.71825707,0.6227113,6.9324613,3.7407663,6.0423603,3.7321205,0.15032819,1.0224906,23.457308,0.7044056,-1.9186475,-8.0871315,12.858935,1.4873221,-3.8415651,-3.7767425,0.02012926,1.1673387,1.2967439,0.888516,3.7108526,0.9794884,3.787357,1.9671202,18.65545,0.65004975,572.3998,0.40885398,1285.7921,0.20236382,-124.76028,-0.74467105,1641.5344,0.18357626,854.7775,0.38706753,-126.98514,-0.69229114,2709.364,0.11915755,851.6865,0.31833437,-127.37142,-0.6861089,-10.542517,-0.8195852,19.934805,0.46747273,0.024415331,0.9649436,-0.013798876,-1.2658374,0.23563725,0.69151264,30.826344,0.32021868,-1.7152773,-10.042197,19.18091,1.1499999,-8.100235,-2.269726,-5.70072,14.38376,0.010804118,0.004006588,0.094476156,3.204709,2.1653543,0.17333333,0.12930273,0.27656248,0.28021872,-28.400003,mqDv8688ztg.000.wav
