start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,Part,Name,speech_ratio
0 days,0 days 00:00:00.162000,37.51012,0.0067297197,37.404007,37.56638,37.744946,0.34093857,28.52262,0.0,-4.3499,0.0,1.383757,0.18212691,1.1563767,1.3209325,1.7204305,0.5640538,7.2004437,0.0,4.40594,4.3416514,0.49124977,0.40554416,2.0474706,5.377904,-35.66835,-0.42066902,-9.686874,-1.0220953,-39.962112,-0.16193716,0.009768037,0.41990948,1.2194521,0.28566524,-0.29277766,-3.44892,-5.1764655,-0.5576691,8.65737,0.3204248,1173.4719,0.1437194,1066.7151,0.07930751,10.710928,0.14559273,2112.159,0.08666864,1242.4392,0.09008973,10.377157,0.28207612,2970.8218,0.063929364,959.2938,0.10522172,3.142374,0.7181441,-0.81911147,-3.3368773,10.645987,0.4315874,0.06696164,0.26926655,-0.0007764397,-4.339471,0.6258029,0.32729805,10.395749,0.47004128,-46.99779,-0.16522062,-2.8008368,-2.4621346,-41.473682,-0.18719146,0.0,0.0,0.0,0.0,0.0,6.666667,11.111112,0.08,0.0,0.0,0.0,-22.19428,Val,XAO4l8Ej-J8.001.wav,0.0
0 days,0 days 00:00:01.644000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11926252,0.5451833,0.06465603,0.09014728,0.18756731,0.12291128,0.842315,0.6155502,0.44258225,0.30898485,0.012489199,0.7843199,0.10856733,38.64994,-2.943291,-2.2625158,-3.3080454,-1.711094,-14.922045,-0.46672353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37682164,5.937699,0.076167956,0.005843961,0.0128656,1.8404908,0.0,0.0,0.0,1.5699999,0.0,-54.514046,Val,WRz1F6DqmRQ.001.wav,0.0
0 days,0 days 00:00:01.878000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06814159,0.1828547,0.059882414,0.064929985,0.07286369,0.012981277,0.61916804,0.47636023,0.4258547,0.64978915,0.005098002,0.8348085,-6.1013694,-0.44949928,-12.524554,-0.33243525,-10.428151,-0.3304824,-9.369827,-0.4860274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.599222,3.2046638,0.063240916,0.020657573,0.005084266,4.3010755,0.0,0.0,0.0,1.8,0.0,-63.445354,Val,RtbBc9kI6tE.000.wav,0.0
0 days,0 days 00:00:02.550000,31.53133,0.24163605,22.233173,35.547104,38.68904,16.455868,355.476,0.0,83.3672,60.929317,0.122313336,0.50752723,0.10050226,0.1068766,0.11925036,0.018748097,1.3540063,0.933784,0.85266095,0.64681345,0.01986232,1.5760092,11.179256,0.35756025,3.6224544,1.2540488,8.663418,0.64465374,5.999242,0.99136305,0.02091918,0.7918462,1.358916,0.411754,3.8831313,0.72331727,12.901053,0.47841868,26.342709,0.08998223,965.24634,0.13858847,1312.0624,0.1800335,-187.6912,-0.23360734,1810.8158,0.10526371,1309.3453,0.27672344,-187.35121,-0.23513274,2823.2888,0.062476017,833.55023,0.26281485,-187.84613,-0.22556734,-9.572672,-0.27483615,20.208992,0.1105728,0.048939556,0.5981824,0.014108889,0.3476447,0.05706799,0.9661647,18.225128,0.46025038,2.238909,4.350156,5.9562335,1.5291573,0.3335422,31.523117,-7.454159,17.17293,0.0013048808,0.011943464,0.017268332,0.39370078,1.6064256,0.035,0.015,0.5675,0.8504521,-46.18047,Val,4JjpfL4y3XM.003.wav,0.0
0 days,0 days 00:00:00.780000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096456416,0.5911013,0.04686669,0.06709731,0.16860358,0.1217369,0.9312967,0.5694255,0.7649455,0.4120763,0.0153175,0.7035301,17.84575,0.21059021,-9.511698,-1.7055931,6.4153285,0.84993684,1.5527114,2.846598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7282887,15.43213,0.018009748,0.023665978,0.015737662,3.896104,0.0,0.0,0.0,0.71,0.0,-53.526665,Val,vLAHfIjmRMc.003.wav,0.0
0 days,0 days 00:00:01.194000,61.958477,0.0011891971,61.88865,61.963062,62.030594,0.14194489,0.0,0.0,-0.038713075,0.0,0.22304845,0.9281104,0.08235668,0.14396796,0.23241775,0.15006107,2.096768,1.659085,1.7086445,1.7627115,0.088776864,0.9615319,4.347943,1.3368423,-6.609773,-1.3279939,13.409138,0.7027617,6.8172216,0.9985188,0.03415217,0.14289927,1.8634206,0.2174193,3.9920723,0.08789839,17.335588,0.080333374,17.335588,0.080333374,865.5597,0.11525229,552.96313,0.22154117,-201.0,0.0,1880.5404,0.10155614,1204.5524,0.08346847,-194.77866,-0.17725901,2776.688,0.02738423,1091.5975,0.101346344,-191.54759,-0.20631649,7.9840937,0.12493772,1.6278255,0.93079656,-0.02942954,-0.154919,0.00833263,0.4319287,0.26731056,0.1829484,-7.0031924,-0.32257017,-18.680779,-0.15670437,27.343704,0.1065159,12.057086,0.068077505,-7.911759,20.02293,-0.027753308,0.011003815,0.083997644,2.542373,0.88495576,0.04,0.0,0.53,0.44,-36.951668,Val,f7togdqxEoo.001.wav,0.0
0 days,0 days 00:00:01.224000,44.95786,6.453588e-05,44.95571,44.95767,44.959972,0.004261017,0.0023663838,0.0,0.0,0.0,0.17964303,0.34862852,0.13508372,0.1556011,0.22975683,0.09467311,2.5318286,1.3642339,1.1595079,1.055845,0.022966484,0.683848,1.681309,3.4392307,-2.0168397,-3.0465713,5.193348,0.84486485,2.7251716,1.6664982,0.0,0.0,0.7297785,0.0,6.5113564,0.1600394,4.660872,0.88495415,0.12147681,33.19638,717.1032,0.036701612,1480.428,0.08517207,-197.84862,-0.10881368,1658.325,0.05205321,1082.3433,0.08853401,-195.84384,-0.14869866,2638.2612,0.027961284,1109.0514,0.12733997,-195.98016,-0.14506096,-1.6056744,-0.66781074,12.491419,0.036901403,-0.0018444607,-1.1834989,0.018687552,0.017135542,0.01859094,0.1795127,5.2426777,0.3258918,-2.990689,-0.8695441,5.902372,0.1434326,7.309913,0.4777925,-1.5230398,11.00225,-0.010874217,0.013762729,0.021558851,1.6528927,0.862069,0.02,0.0,1.12,0.0,-47.941902,Val,CwmYqA1yi0Q.004.wav,0.0
0 days,0 days 00:00:02.550000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1609877,0.6438034,0.07787769,0.12697431,0.22549288,0.1476152,3.380696,4.37286,2.389839,1.8870146,0.027502537,1.2119775,3.2377927,2.539133,-4.4927354,-2.5271497,5.2758527,2.3026218,-0.16363584,-44.56432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0981343,8.465614,0.024000032,0.012451833,0.027984947,3.1496062,0.0,0.0,0.0,2.48,0.0,-46.882576,Val,SFxiMxHvJuo.002.wav,0.17412191475281258
0 days,0 days 00:00:04.566000,27.976479,0.015027413,27.548412,28.005829,28.43854,0.8901272,0.0,0.0,-0.095247746,0.0,0.28649235,0.5842262,0.20300424,0.25474587,0.3418749,0.13887066,2.239926,1.9800937,2.3459597,2.366286,0.12458115,0.77072924,20.898392,0.31091687,3.4668448,2.5470622,7.5567994,1.0833263,8.316727,0.76942647,0.010867353,0.25248414,1.0393409,0.40655008,4.7559037,0.3131679,-18.344547,-0.3689929,14.456607,0.19447128,792.2992,0.21317092,1372.0255,0.15557724,-195.94931,-0.14310044,1880.8933,0.08334689,1004.2931,0.063255206,-196.2565,-0.13469583,3029.2898,0.065262064,1007.2505,0.19476432,-196.40611,-0.1300595,-15.185882,-0.16035095,27.262941,0.118703514,0.0059025562,4.456194,-0.011153362,-0.72264075,0.34899852,0.14376912,33.793983,0.06365404,1.5864719,1.9322274,7.666441,0.5889509,1.2168199,4.3411036,-13.476437,23.876413,-0.03326576,0.0017307637,0.11958863,1.5384617,0.44444445,0.049999997,0.03,1.4499999,1.9658247,-32.57633,Val,wFZJ3gTKwwM.000.wav,0.0
0 days,0 days 00:00:01.998000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2750035,0.9490544,0.17902467,0.18825588,0.26581752,0.08679286,1.4833983,1.0326955,2.3849952,1.9782383,0.07067439,1.7961271,13.433012,0.3362118,-0.5405677,-18.702127,1.575137,2.946805,-2.6017427,-2.7659523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.2105236,13.722208,0.010138935,-0.0026158472,0.07176443,0.50505054,0.0,0.0,0.0,1.92,0.0,-33.708126,Val,8OGiv7FetSQ.003.wav,0.0
