start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,Part,Name,speech_ratio
0 days,0 days 00:00:12.752000,38.03569,0.060380984,36.085766,37.593437,40.120895,4.0351295,95.11183,99.232704,36.692894,30.823727,0.8444846,0.43714273,0.53744006,0.7366348,1.0979446,0.56050456,8.040843,5.934802,6.2274275,4.578336,0.3105856,0.7075335,21.737354,0.31338754,7.693246,1.3390452,12.438765,0.86005926,6.01595,1.7067106,0.010849744,1.2243917,1.1186696,0.8116653,15.012101,0.069750816,9.395081,0.9902694,23.27407,0.3827797,694.0782,0.35134754,1458.3921,0.18282895,-155.07042,-0.5105057,1796.1246,0.17300309,1264.0972,0.23141281,-151.74118,-0.5110078,2919.8462,0.10529016,1182.7928,0.2630874,-153.21054,-0.49056318,-29.076609,-0.21784452,44.497787,0.16046959,-0.06185685,-0.25991037,-0.01134492,-1.0045353,0.426005,0.43194437,27.027994,0.17871857,3.6185212,2.8235853,7.704791,1.5478817,1.3556299,8.008473,-35.824028,49.009014,-0.08336928,-0.008550579,0.27125633,3.2967033,2.6025238,0.091515146,0.07110049,0.27272728,0.20196418,-5.172719,Val,4JjpfL4y3XM.003.wav,0.994824315912778
0 days,0 days 00:00:13.658000,31.224222,0.16091308,28.339724,29.958649,32.58291,4.243185,252.94531,283.204,105.03113,65.87921,0.66995066,0.3696534,0.46759707,0.5722127,0.88518196,0.4175849,5.7833743,4.178722,3.554912,1.9138706,0.23103458,0.95169973,21.029438,0.31147307,14.039497,0.3794895,10.660731,0.7683301,3.2453153,3.9011123,0.017818643,1.2302091,1.3671081,0.55646986,11.583722,0.20022723,0.3700194,25.253834,19.584623,0.567993,650.54614,0.32101607,1485.6123,0.18576552,-175.13936,-0.3685654,1780.142,0.10660686,1323.4398,0.22531676,-176.83485,-0.33269665,2878.8325,0.06901577,1127.3647,0.2960699,-176.53404,-0.33685246,-33.099823,-0.14597832,44.01193,0.14587249,-0.04446369,-0.32562438,-0.028368974,-0.44749135,0.5444026,0.4775779,26.356956,0.1850584,12.126131,0.5912098,8.4845295,1.3862784,-9.219736,-1.5020374,-39.891857,53.205257,-0.08265231,-0.013803546,0.18595754,3.2991204,1.6924208,0.066086955,0.049584284,0.48333332,0.38951534,-4.957594,Val,WRz1F6DqmRQ.001.wav,0.9762775309229523
0 days,0 days 00:00:13.424000,33.31691,0.14588748,27.649492,36.025272,37.241726,9.592234,131.04631,56.146812,102.65715,69.66019,0.7494254,0.46626985,0.45950803,0.6179211,1.0636654,0.6041573,8.758398,6.0225263,4.637247,3.09797,0.18421449,0.9055962,17.405514,0.37042245,3.5371294,3.7816095,11.527148,1.0836788,6.188361,1.4015561,0.03078842,1.2129375,1.8096769,0.68782526,11.752862,0.13836373,-5.1252384,-2.1563134,5.7291665,0.8936744,572.0279,0.29680756,1387.8174,0.1140745,-183.82246,-0.28927985,1552.3319,0.18932523,1134.618,0.33828023,-182.3172,-0.30751985,2812.1199,0.08971803,987.506,0.24239235,-183.36438,-0.28774756,-21.588953,-0.1880668,41.719784,0.12703882,-0.07586414,-0.18589258,-0.002220774,-5.309516,0.42448166,0.4527719,24.949259,0.13119444,-17.605095,-0.44889852,-4.5712523,-2.7417376,-1.8250595,-5.466473,-35.263863,47.61739,-0.08762408,-0.0056284457,0.16183162,3.1319911,1.2724551,0.058823526,0.049334668,0.6672222,0.46281508,-5.9988027,Val,RtbBc9kI6tE.000.wav,1.0
0 days,0 days 00:00:15.302000,34.693768,0.04844983,33.35859,34.352085,36.405556,3.0469666,52.497074,51.4883,20.675264,13.230958,0.71317047,0.43815118,0.477691,0.6149474,0.91795075,0.44025975,8.110681,5.674,6.6295795,5.504159,0.206574,0.7827344,23.470098,0.31782597,6.73859,1.7904248,12.373787,0.8858585,9.670266,0.9248397,0.01072255,1.5886517,0.90667945,0.76704323,13.210402,0.18260841,1.9506519,4.478954,19.727306,0.5954204,781.3252,0.28129092,1529.3312,0.19004448,-151.38837,-0.5270052,1853.1544,0.15023607,1296.4648,0.2754238,-152.08063,-0.5083292,3020.9578,0.07354825,1230.5338,0.29024544,-154.4501,-0.47554058,-27.925045,-0.25687894,43.50772,0.21478023,-0.078010805,-0.174455,-0.010406183,-1.2939513,0.31836987,0.64387023,28.987326,0.16634332,-1.683896,-8.275399,9.424499,1.4453201,6.1456876,1.8399532,-36.881893,50.05074,-0.0910644,-0.008036341,0.1679352,3.466318,2.887139,0.079772726,0.0545014,0.2465909,0.28710896,-6.6398096,Val,VZ6jhnbk-5g.000.wav,1.0
0 days,0 days 00:00:15.140000,40.077557,0.13028456,35.95576,38.4031,43.312683,7.356922,246.98332,385.93265,146.92941,193.7782,1.0823792,0.38755786,0.6538436,1.0380753,1.4892882,0.8354446,12.350285,8.260507,6.6646166,2.9989994,0.3916537,0.6729251,18.006664,0.28890246,-3.19109,-4.214533,15.38647,0.876999,-1.414703,-9.882324,0.015129799,1.7510704,1.1628051,0.5324538,15.494295,0.12279597,3.8037152,2.811939,9.700549,1.3569067,696.1575,0.30171332,1415.146,0.20991503,-150.60489,-0.5624769,1772.7756,0.15122652,1131.258,0.28292042,-141.63005,-0.61078995,2908.563,0.0932842,1111.0203,0.37790066,-142.36722,-0.5939783,-23.483025,-0.215157,35.909763,0.20782356,-0.071446516,-0.21706712,-0.009753186,-1.4184803,0.5683729,0.35657352,19.739174,0.2743511,-11.473922,-1.0381294,13.007429,1.2464044,-8.7662,-1.6738466,-31.87408,43.350685,-0.08162235,-0.007010421,0.31831318,4.2300067,2.8514588,0.09465116,0.07150699,0.2355814,0.18176527,-4.4898496,Val,XAO4l8Ej-J8.001.wav,0.9805811615800923
0 days,0 days 00:00:15.302000,26.091497,0.11485269,23.84311,24.953314,29.579483,5.736374,123.14338,154.97375,14.810449,20.596998,0.8151142,0.42393094,0.5128483,0.7163164,1.1039028,0.5910545,7.5990005,3.3078046,6.2184644,4.084968,0.31020018,0.7107161,25.789244,0.35214096,12.257806,0.6759684,12.271259,0.98449075,9.53504,1.2064996,0.011458524,0.9769879,0.8703569,0.84739506,9.485429,0.25373507,7.8866844,1.0584768,28.940592,0.3457187,737.13666,0.3510816,1480.444,0.18154322,-116.44909,-0.7759431,1841.2214,0.16826862,1302.1124,0.25618684,-120.929756,-0.7002214,2969.2422,0.10627587,1237.3108,0.2618301,-124.14476,-0.65410924,-30.566925,-0.23660313,46.51506,0.16186573,-0.07874086,-0.22658107,-0.01798569,-0.82791245,0.39190754,0.49967846,31.839369,0.19011547,10.893808,0.88603705,10.034981,1.4077553,6.4077315,2.2224603,-37.42552,51.121735,-0.09623106,-0.0067041307,0.24444018,3.5971222,2.8215222,0.14883721,0.14996447,0.1855814,0.14221343,-5.876556,Val,6uqXoPJSoPg.001.wav,1.0
0 days,0 days 00:00:10.736000,31.622602,0.14409336,28.215149,29.743788,34.160633,5.945484,52.402428,30.451698,226.60126,280.68695,0.6792414,0.49370587,0.42919752,0.54427564,0.87538344,0.44618592,5.7909374,4.312452,3.3252397,2.4286404,0.2719319,0.7032362,23.112797,0.23081867,8.930271,1.1124676,11.499804,0.90337974,7.831711,1.1826899,0.013976112,0.8618311,1.3155645,0.6027463,11.611447,0.1744936,-2.194597,-7.3405986,12.364549,1.1759413,654.7058,0.28292412,1399.2731,0.1722179,-176.97713,-0.35195586,1742.177,0.17136899,1231.4281,0.20544851,-177.81638,-0.33432856,2845.3071,0.11145141,1167.5957,0.19574425,-178.60901,-0.32117596,-26.358137,-0.22061843,42.068504,0.14167662,-0.060719613,-0.22459665,-0.0131023945,-0.8704815,0.520255,0.47926748,29.012789,0.13838631,-0.71721137,-18.206612,4.911945,2.2953296,-1.227056,-10.555906,-37.819614,52.218933,-0.09042353,-0.008749423,0.23848562,2.7985077,1.3120899,0.08142857,0.058292016,0.616,0.853579,-6.238853,Val,wFZJ3gTKwwM.000.wav,0.99385242322806
0 days,0 days 00:00:14.522000,33.898582,0.08198211,31.05668,34.086212,36.162796,5.1061153,71.34449,51.168472,56.138367,45.793983,0.7791552,0.47262076,0.47890702,0.63874793,1.0412072,0.5623002,8.236797,5.014394,5.4461765,3.427512,0.2369541,0.9498445,22.415472,0.2197687,5.4029765,2.004408,15.43952,0.74489653,7.0851035,1.4874605,0.011480145,1.000809,1.0393683,0.70206034,12.9086,0.14906172,2.007895,6.309023,13.456067,0.5214044,762.2773,0.29631186,1420.1743,0.1632331,-166.46019,-0.42997167,1848.019,0.16571002,1255.9282,0.24070604,-166.347,-0.42275715,2989.5706,0.09247374,1166.797,0.27088112,-167.27016,-0.40889013,-26.114557,-0.22232749,41.08149,0.1413021,-0.07613331,-0.14944834,-0.009949096,-1.3670886,0.45910236,0.6033819,27.44329,0.1276808,-7.505183,-1.4906089,7.625682,1.8766001,-1.3943404,-11.012028,-37.484447,50.130306,-0.092018366,-0.0066701337,0.1900591,3.1702275,1.9363762,0.08142857,0.054295115,0.4003448,0.33189613,-4.8309283,Val,vLAHfIjmRMc.003.wav,1.0
0 days,0 days 00:00:12.752000,36.95081,0.07742805,34.269753,36.805416,39.090984,4.821232,108.42656,127.45323,40.698853,51.910637,0.79638904,0.50841945,0.4493408,0.68885124,1.0757711,0.6264303,9.358671,6.2193236,6.126537,4.4982815,0.23583686,0.82008606,20.548143,0.41876405,6.5770845,2.044367,11.833952,1.0117089,7.29703,1.7300148,0.008467349,1.5832642,0.8084814,0.7170631,14.595795,0.16285676,2.0323436,5.2643228,16.143312,0.69623977,695.3066,0.32557526,1389.8914,0.22687466,-135.36823,-0.6574001,1788.6566,0.15119438,1176.7646,0.3224226,-132.72063,-0.6583879,2891.5366,0.09053141,1114.8068,0.41484377,-134.47116,-0.6333923,-26.5119,-0.27440727,39.817192,0.23489876,-0.07250664,-0.2080054,-0.01499615,-0.859958,0.353757,0.6381505,24.794706,0.27212477,-1.1205547,-12.451807,10.050178,1.5743617,0.7617095,18.189766,-36.114216,49.481045,-0.09173086,-0.0038351316,0.1715521,3.2182105,2.3640664,0.14199999,0.12147427,0.25225806,0.15652908,-7.264991,Val,SFxiMxHvJuo.002.wav,0.9694164122118698
0 days,0 days 00:00:14.108000,33.729626,0.06364825,31.541033,33.895832,36.103703,4.5626698,78.616875,104.680885,44.687294,46.66738,0.6101038,0.36723873,0.44898757,0.5381793,0.71795195,0.26896438,5.16568,3.7749064,3.4461877,2.729382,0.3109382,1.8411944,22.699244,0.3192455,11.984763,0.67181265,12.37941,0.7103921,6.885855,1.2341641,0.010272575,1.1903294,0.7491365,0.88015455,13.288926,0.11494938,-1.1976397,-7.0960083,23.518642,0.3553229,614.26807,0.32336658,1496.4907,0.164411,-168.96927,-0.42072055,1703.9893,0.15318266,1342.4279,0.21497963,-170.19765,-0.39285368,2844.6353,0.09369519,1219.4332,0.22900933,-171.4522,-0.3733294,-30.841597,-0.1892705,47.413105,0.12892304,-0.06480953,-0.18415165,-0.019631214,-0.6506331,0.3957507,0.7025239,30.78726,0.14987138,4.360604,2.341371,4.636018,2.2957745,-3.523066,-2.8289213,-39.363094,52.66038,-0.08561093,-0.009682481,0.29635653,3.1937544,1.3532764,0.11052631,0.07366165,0.5775,0.51515895,-6.5076675,Val,f7togdqxEoo.001.wav,1.0
