,filename,basename,ethnicity,gender
0,--Ymqszjv54.001.wav,--Ymqszjv54,2,1
1,--Ymqszjv54.003.wav,--Ymqszjv54,2,1
2,--Ymqszjv54.004.wav,--Ymqszjv54,2,1
3,--Ymqszjv54.005.wav,--Ymqszjv54,2,1
4,-2qsCrkXdWs.001.wav,-2qsCrkXdWs,2,1
5,-55DRRMTppE.000.wav,-55DRRMTppE,2,2
6,-55DRRMTppE.005.wav,-55DRRMTppE,2,2
7,-5riMLK-PgU.001.wav,-5riMLK-PgU,2,1
8,-6otZ7M-Mro.000.wav,-6otZ7M-Mro,2,1
9,-6otZ7M-Mro.001.wav,-6otZ7M-Mro,2,1
10,-6otZ7M-Mro.003.wav,-6otZ7M-Mro,2,1
11,-6otZ7M-Mro.005.wav,-6otZ7M-Mro,2,1
12,-8asrRvfJWA.001.wav,-8asrRvfJWA,3,2
13,-8asrRvfJWA.003.wav,-8asrRvfJWA,3,2
14,-8asrRvfJWA.004.wav,-8asrRvfJWA,3,2
15,-9BZ8A9U7TE.000.wav,-9BZ8A9U7TE,2,2
16,-9BZ8A9U7TE.002.wav,-9BZ8A9U7TE,2,2
17,-9BZ8A9U7TE.003.wav,-9BZ8A9U7TE,2,2
18,-9BZ8A9U7TE.004.wav,-9BZ8A9U7TE,2,2
19,-AmMDnVl4s8.001.wav,-AmMDnVl4s8,2,2
20,-AmMDnVl4s8.003.wav,-AmMDnVl4s8,2,2
21,-BDSWZIF-WY.000.wav,-BDSWZIF-WY,2,1
22,-C5M9g4Quzc.002.wav,-C5M9g4Quzc,1,1
23,-DOqN0d8KHw.000.wav,-DOqN0d8KHw,2,2
24,-DOqN0d8KHw.001.wav,-DOqN0d8KHw,2,2
25,-DOqN0d8KHw.002.wav,-DOqN0d8KHw,2,2
26,-DOqN0d8KHw.003.wav,-DOqN0d8KHw,2,2
27,-Gl98Jn45Fs.000.wav,-Gl98Jn45Fs,2,2
28,-Gl98Jn45Fs.001.wav,-Gl98Jn45Fs,2,2
29,-Gl98Jn45Fs.003.wav,-Gl98Jn45Fs,2,2
30,-IK--4uz5ZY.000.wav,-IK--4uz5ZY,2,2
31,-IK--4uz5ZY.002.wav,-IK--4uz5ZY,2,2
32,-IK--4uz5ZY.003.wav,-IK--4uz5ZY,2,2
33,-IK--4uz5ZY.004.wav,-IK--4uz5ZY,2,2
34,-N6QKrbnaDs.002.wav,-N6QKrbnaDs,2,1
35,-N6QKrbnaDs.005.wav,-N6QKrbnaDs,2,1
36,-NwfYYf5xLo.005.wav,-NwfYYf5xLo,2,2
37,-OXMbG7ZwRk.000.wav,-OXMbG7ZwRk,2,2
38,-OXMbG7ZwRk.003.wav,-OXMbG7ZwRk,2,2
39,-OXMbG7ZwRk.004.wav,-OXMbG7ZwRk,2,2
40,-OXMbG7ZwRk.005.wav,-OXMbG7ZwRk,2,2
41,-Osv5l1vrNU.001.wav,-Osv5l1vrNU,3,1
42,-Osv5l1vrNU.004.wav,-Osv5l1vrNU,3,1
43,-PF2TG2loGc.002.wav,-PF2TG2loGc,2,1
44,-PWjgx2czwY.000.wav,-PWjgx2czwY,2,2
45,-R2SZu3SYgM.000.wav,-R2SZu3SYgM,2,2
46,-R2SZu3SYgM.002.wav,-R2SZu3SYgM,2,2
47,-R2SZu3SYgM.003.wav,-R2SZu3SYgM,2,2
48,-R2SZu3SYgM.004.wav,-R2SZu3SYgM,2,2
49,-RhPxhfpg4U.001.wav,-RhPxhfpg4U,3,1
50,-RhPxhfpg4U.003.wav,-RhPxhfpg4U,3,1
51,-RhPxhfpg4U.004.wav,-RhPxhfpg4U,3,1
52,-RhPxhfpg4U.005.wav,-RhPxhfpg4U,3,1
53,-RqxrwIxMvE.002.wav,-RqxrwIxMvE,2,2
54,-VTqcHNgH7M.001.wav,-VTqcHNgH7M,2,2
55,-VTqcHNgH7M.002.wav,-VTqcHNgH7M,2,2
56,-VTqcHNgH7M.003.wav,-VTqcHNgH7M,2,2
57,-VTqcHNgH7M.004.wav,-VTqcHNgH7M,2,2
58,-VTqcHNgH7M.005.wav,-VTqcHNgH7M,2,2
59,-Wqk9eex6bQ.001.wav,-Wqk9eex6bQ,2,2
60,-Wqk9eex6bQ.002.wav,-Wqk9eex6bQ,2,2
61,-Wqk9eex6bQ.003.wav,-Wqk9eex6bQ,2,2
62,-Wqk9eex6bQ.004.wav,-Wqk9eex6bQ,2,2
63,-Wqk9eex6bQ.005.wav,-Wqk9eex6bQ,2,2
64,-aU2FN5pkWA.001.wav,-aU2FN5pkWA,2,2
65,-aU2FN5pkWA.004.wav,-aU2FN5pkWA,2,2
66,-agCXYgb7pI.000.wav,-agCXYgb7pI,3,1
67,-agCXYgb7pI.001.wav,-agCXYgb7pI,3,1
68,-agCXYgb7pI.004.wav,-agCXYgb7pI,3,1
69,-awAu11kBZ0.000.wav,-awAu11kBZ0,2,2
70,-c2HtptBFxY.002.wav,-c2HtptBFxY,1,2
71,-c_tyGzShwk.004.wav,-c_tyGzShwk,2,2
72,-fXqnCljdm0.000.wav,-fXqnCljdm0,3,1
73,-fXqnCljdm0.003.wav,-fXqnCljdm0,3,1
74,-fqiCqZtgYs.000.wav,-fqiCqZtgYs,2,1
75,-fqiCqZtgYs.001.wav,-fqiCqZtgYs,2,1
76,-fqiCqZtgYs.002.wav,-fqiCqZtgYs,2,1
77,-fqiCqZtgYs.003.wav,-fqiCqZtgYs,2,1
78,-mt-IKgGhuY.004.wav,-mt-IKgGhuY,2,1
79,-utrsarZeIY.001.wav,-utrsarZeIY,2,2
80,-utrsarZeIY.004.wav,-utrsarZeIY,2,2
81,-wO0oBNlEvY.005.wav,-wO0oBNlEvY,2,2
82,-zNyDPzId4E.000.wav,-zNyDPzId4E,1,1
83,-zNyDPzId4E.001.wav,-zNyDPzId4E,1,1
84,-zNyDPzId4E.003.wav,-zNyDPzId4E,1,1
85,01qN-BqJXRM.005.wav,01qN-BqJXRM,2,2
86,04oq2yrBwMg.000.wav,04oq2yrBwMg,2,1
87,04oq2yrBwMg.001.wav,04oq2yrBwMg,2,1
88,04oq2yrBwMg.003.wav,04oq2yrBwMg,2,1
89,04oq2yrBwMg.004.wav,04oq2yrBwMg,2,1
90,04oq2yrBwMg.005.wav,04oq2yrBwMg,2,1
91,05l5bteT_qA.000.wav,05l5bteT_qA,2,2
92,05l5bteT_qA.001.wav,05l5bteT_qA,2,2
93,05l5bteT_qA.004.wav,05l5bteT_qA,2,2
94,0C6i34q2-f8.000.wav,0C6i34q2-f8,2,1
95,0C6i34q2-f8.001.wav,0C6i34q2-f8,2,1
96,0C6i34q2-f8.003.wav,0C6i34q2-f8,2,1
